heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;90.25;23.12;7.989;2.142;22
00:06;87.20;24.00;0.000;0.000;1
00:12;95.33;21.77;9.461;2.160;3
00:18;87.93;23.70;7.095;1.884;17
00:24;88.19;23.73;7.380;1.810;29
00:30;88.75;23.57;7.018;1.849;38
00:36;88.23;23.69;8.880;2.275;43
00:42;87.52;23.86;10.163;3.383;51
00:48;88.29;23.65;9.257;2.552;51
00:54;87.64;23.83;9.889;2.924;52
01:00;87.03;23.97;10.279;3.067;43
01:06;87.19;23.96;9.882;2.919;40
01:12;86.93;23.98;8.954;2.883;38
01:18;88.34;23.60;9.191;2.816;35
01:24;89.45;23.31;11.424;3.437;35
01:30;90.36;23.11;11.501;3.193;36
01:36;91.69;22.74;11.151;2.843;34
01:42;91.28;22.87;11.675;2.947;30
01:48;91.20;22.94;11.386;2.878;31
01:54;90.21;23.22;11.018;2.796;29
02:00;89.37;23.42;8.992;2.303;29
02:06;88.06;23.82;6.744;1.756;24
02:12;85.64;24.48;10.831;5.286;24
02:18;86.88;24.05;11.105;5.327;24
02:24;87.30;23.96;11.305;5.353;24
02:30;87.26;23.99;13.878;6.055;21
02:36;87.73;23.83;14.104;6.109;22
02:42;87.05;24.06;13.033;5.718;26
02:48;88.91;23.64;9.732;2.856;21
02:54;90.85;23.17;11.655;2.947;25
03:00;88.58;23.69;10.630;2.732;28
03:06;88.14;23.72;10.414;2.883;32
03:12;88.32;23.63;9.516;2.315;33
03:18;89.42;23.33;10.327;2.396;37
03:24;89.57;23.31;10.418;2.425;38
03:30;88.31;23.67;8.039;2.147;35
03:36;89.80;23.29;8.841;2.345;35
03:42;89.58;23.38;8.885;2.355;36
03:48;90.54;23.15;9.018;2.219;33
03:54;89.88;23.34;7.033;1.794;33
04:00;90.59;23.21;7.246;1.786;29
04:06;91.20;23.06;6.764;1.605;29
04:12;92.20;22.71;9.519;2.018;27
04:18;90.19;23.18;5.810;1.436;31
04:24;91.12;22.93;7.303;1.958;34
04:30;90.08;23.23;6.483;1.776;49
04:36;89.32;23.42;8.515;2.611;55
04:42;90.69;23.08;8.760;2.572;68
04:48;91.88;22.80;8.998;2.652;77
