heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;92.99;38.22;10.262;4.443;26
00:06;86.70;41.00;0.400;0.000;2
00:12;89.07;39.73;7.105;3.240;4
00:18;90.27;39.39;11.246;4.889;26
00:24;91.82;38.66;11.130;5.023;43
00:30;95.24;37.28;14.380;5.877;47
00:36;96.49;36.78;16.002;6.233;57
00:42;96.89;36.63;14.823;5.430;62
00:48;95.24;37.24;14.695;5.740;66
00:54;95.17;37.27;14.675;5.799;64
01:00;91.69;38.72;17.185;19.992;57
01:06;91.80;38.70;18.289;20.083;53
01:12;90.95;39.06;17.325;20.180;51
01:18;92.10;38.58;17.729;20.851;47
01:24;93.96;37.88;20.222;22.319;40
01:30;97.61;36.44;21.210;22.285;41
01:36;100.20;35.50;17.417;6.129;38
01:42;97.55;36.48;16.732;5.976;34
01:48;94.59;37.55;17.273;6.293;35
01:54;94.35;37.61;17.262;6.087;32
02:00;92.68;38.23;15.998;5.992;31
02:06;91.16;38.87;16.680;6.364;30
02:12;89.53;39.67;18.143;10.112;31
02:18;90.64;39.16;18.332;10.256;28
02:24;88.82;39.97;15.829;10.193;24
02:30;89.00;39.97;17.450;10.590;24
02:36;92.61;38.33;18.134;10.787;24
02:42;90.62;39.14;15.933;9.882;27
02:48;92.45;38.37;14.205;5.567;24
02:54;91.91;38.58;13.113;4.928;28
03:00;91.64;38.73;12.376;4.623;32
03:06;92.12;38.50;11.928;4.119;36
03:12;94.03;37.76;13.263;4.382;42
03:18;91.98;38.56;15.305;5.673;39
03:24;94.26;37.65;16.539;5.347;42
03:30;95.98;37.02;17.555;5.784;39
03:36;102.75;34.61;20.651;6.943;37
03:42;103.26;34.43;21.988;7.368;33
03:48;100.77;35.28;21.281;7.858;35
03:54;101.24;35.15;19.901;7.596;34
04:00;102.01;34.88;22.528;8.491;36
04:06;100.99;35.22;22.883;8.600;35
04:12;100.55;35.36;20.340;7.006;31
04:18;100.49;35.34;17.630;6.014;34
04:24;103.68;34.26;17.327;5.764;39
04:30;99.18;35.77;16.333;5.556;53
04:36;99.81;35.58;18.100;6.384;64
04:42;106.79;33.29;19.531;6.741;75
04:48;105.58;33.56;17.307;5.840;94
04:54;105.21;33.70;16.989;5.810;99
05:00;109.26;32.46;15.581;4.779;96
05:06;107.67;32.98;17.818;5.694;102
05:12;102.30;34.74;16.349;5.422;103
05:18;97.24;36.51;15.316;5.154;107
05:24;99.74;35.58;15.078;4.911;118
05:30;97.06;36.63;13.959;4.941;120
05:36;95.80;37.13;12.168;4.386;131
05:42;96.69;36.70;11.502;4.587;134
05:48;97.66;36.34;13.151;4.626;131
05:54;97.71;36.28;12.104;4.312;137
06:00;100.19;35.45;12.718;4.131;153
06:06;98.44;36.10;11.166;4.145;175
06:12;93.82;37.88;10.222;4.223;182
06:18;94.93;37.41;10.790;4.239;202
06:24;94.43;37.60;8.190;3.139;293
06:30;92.56;38.33;5.542;2.474;456
06:36;90.89;39.07;5.714;2.728;570
06:42;85.45;41.59;4.984;2.417;627
06:48;79.39;44.76;6.276;4.395;808
06:54;70.36;50.57;10.846;18.399;903
07:00;57.97;61.22;12.686;19.992;784
07:06;55.42;64.14;10.122;22.371;669
07:12;55.33;64.16;11.273;24.022;603
07:18;53.63;66.18;10.580;19.434;580
07:24;50.85;69.84;13.399;30.313;535
07:30;50.31;70.58;12.376;23.256;521
07:36;45.79;77.51;13.968;33.612;520
07:42;42.73;83.09;13.856;33.530;597
07:48;43.28;82.08;12.987;28.961;617
07:54;41.68;85.15;13.398;33.186;620
08:00;40.41;87.95;13.157;35.790;621
08:06;46.12;77.02;14.929;32.043;619
08:12;45.94;77.33;16.815;51.196;633
08:18;46.71;76.02;14.410;30.034;677
08:24;45.01;78.94;15.306;31.120;677
08:30;42.07;84.50;16.435;43.189;678
08:36;40.05;88.76;18.452;57.547;720
08:42;40.28;88.12;17.977;71.620;761
08:48;40.60;87.44;16.901;53.695;748
08:54;44.67;79.45;16.452;38.449;810
09:00;44.48;79.89;18.680;47.814;822
09:06;45.08;78.82;20.780;58.683;843
09:12;48.76;72.74;21.738;51.300;795
09:18;51.96;68.36;23.330;50.077;847
09:24;58.00;61.25;23.880;50.322;888
09:30;62.01;57.19;21.676;49.734;922
09:36;67.35;52.69;20.965;54.993;919
09:42;69.63;51.02;20.951;38.647;963
09:48;71.50;49.69;20.565;37.299;950
09:54;74.26;47.88;18.272;36.331;901
10:00;78.66;45.21;16.102;30.412;925
10:06;77.61;45.78;17.553;56.051;861
10:12;79.43;44.78;12.789;39.030;823
10:18;81.95;43.32;9.985;8.610;852
10:24;82.16;43.21;9.189;9.078;927
10:30;83.40;42.56;5.258;2.890;878
10:36;84.20;42.23;4.456;2.329;877
10:42;83.86;42.28;4.465;2.275;859
10:48;84.38;42.12;4.683;2.488;802
10:54;85.25;41.66;4.775;2.384;856
11:00;85.08;41.77;5.323;2.577;754
11:06;84.35;42.09;4.316;2.223;812
11:12;84.58;41.99;5.351;2.695;792
11:18;84.52;42.02;4.738;2.451;694
11:24;84.19;42.20;4.801;2.462;722
11:30;84.69;41.96;4.200;2.162;702
11:36;83.96;42.26;4.513;2.310;743
11:42;83.33;42.64;4.973;2.912;767
11:48;83.40;42.65;8.810;11.590;805
11:54;84.36;42.15;8.722;10.411;761
12:00;84.55;42.00;6.393;3.593;727
12:06;83.86;42.40;8.783;11.119;746
12:12;84.97;41.76;8.254;8.397;732
12:18;85.34;41.61;5.274;2.863;687
12:24;85.32;41.57;6.415;3.771;696
12:30;86.06;41.23;4.982;2.425;614
12:36;87.40;40.59;5.528;2.607;642
12:42;86.61;41.01;5.422;2.721;577
12:48;87.90;40.43;4.830;2.205;584
12:54;86.97;40.82;5.691;3.087;607
13:00;87.55;40.58;5.790;2.540;569
13:06;87.71;40.48;5.575;2.628;597
13:12;87.07;40.74;5.077;2.502;582
13:18;86.14;41.22;4.870;2.641;625
13:24;84.83;41.91;6.276;3.934;639
13:30;85.30;41.58;6.611;5.443;713
13:36;84.74;41.93;8.019;9.003;781
13:42;82.45;43.07;9.292;15.878;800
13:48;82.68;42.92;9.236;13.497;799
13:54;83.61;42.43;10.665;29.440;842
14:00;84.15;42.17;10.370;37.264;801
14:06;84.46;42.04;10.286;30.125;743
14:12;84.13;42.18;10.400;32.250;795
14:18;83.78;42.45;10.935;27.956;829
14:24;82.80;42.90;10.502;24.834;797
14:30;82.67;42.90;10.329;26.971;762
14:36;82.77;42.91;7.631;6.375;750
14:42;84.37;42.03;5.745;3.186;770
14:48;83.75;42.40;9.239;12.749;748
14:54;83.03;42.76;8.351;8.685;702
15:00;83.55;42.46;8.816;11.132;699
15:06;83.25;42.65;8.174;9.920;721
15:12;82.10;43.28;7.419;6.111;661
15:18;83.19;42.66;6.333;4.387;697
15:24;81.03;43.86;8.145;9.698;697
15:30;81.90;43.42;8.141;11.054;713
15:36;81.54;43.58;7.564;8.137;703
15:42;81.51;43.59;5.803;4.113;709
15:48;81.30;43.66;7.460;5.609;667
15:54;81.47;43.56;6.837;5.479;671
16:00;79.50;44.62;9.008;11.914;706
