heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;86.39;29.87;8.903;3.091;29
00:06;79.10;33.00;0.000;0.000;2
00:12;78.88;33.02;14.168;5.701;6
00:18;79.61;32.51;11.964;5.015;32
00:24;80.17;32.31;13.951;5.270;44
00:30;83.93;30.78;16.254;6.027;52
00:36;84.35;30.63;16.173;6.105;59
00:42;84.01;30.76;15.460;5.972;66
00:48;83.73;30.83;13.964;5.566;69
00:54;82.92;31.11;14.462;6.179;69
01:00;81.71;31.59;13.746;5.981;67
01:06;84.25;30.63;15.703;6.318;64
01:12;83.40;31.01;16.456;7.003;60
01:18;84.58;30.55;16.480;6.321;53
01:24;84.56;30.54;19.571;18.445;47
01:30;87.41;29.48;20.712;18.621;46
01:36;87.91;29.34;22.638;19.058;42
01:42;88.45;29.15;21.667;20.866;34
01:48;87.47;29.55;15.525;4.768;36
01:54;85.30;30.36;12.856;4.157;38
02:00;83.97;30.80;13.623;4.493;39
02:06;84.38;30.64;15.640;5.123;35
02:12;82.85;31.19;15.728;5.493;32
02:18;81.45;31.77;17.219;7.477;30
02:24;79.40;32.47;15.186;7.270;27
02:30;77.97;33.14;15.092;7.608;23
02:36;80.38;32.06;16.909;7.894;23
02:42;80.45;32.15;17.741;7.857;25
02:48;78.04;33.08;16.258;7.523;26
02:54;79.72;32.34;16.153;5.927;28
03:00;80.14;32.21;15.925;5.815;31
03:06;83.82;30.77;16.227;5.526;35
03:12;83.20;31.10;15.817;5.242;40
03:18;81.05;31.91;14.124;4.947;41
03:24;82.67;31.24;17.854;5.556;39
03:30;85.32;30.25;18.126;5.488;37
03:36;90.68;28.37;21.014;6.244;39
03:42;91.30;28.13;21.206;6.208;38
03:48;93.16;27.64;18.394;5.599;38
03:54;92.98;27.70;17.656;5.479;33
04:00;91.96;28.01;17.798;5.686;35
04:06;92.09;28.04;19.293;6.201;35
04:12;92.09;28.08;17.111;5.457;34
04:18;89.68;28.85;16.153;4.975;33
04:24;89.16;29.02;17.403;5.374;44
04:30;91.47;28.28;17.549;5.457;56
04:36;88.92;29.09;15.790;5.290;67
04:42;92.69;27.91;16.859;5.485;75
04:48;91.87;28.17;14.074;4.351;96
04:54;91.82;28.12;16.104;5.411;100
05:00;92.26;28.03;14.440;5.047;121
05:06;93.07;27.73;18.447;7.274;116
05:12;89.54;28.85;17.756;6.985;113
