heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;97.82;38.58;14.875;22.338;352
00:06;103.47;38.30;14.908;27.858;23
00:12;97.76;39.25;14.978;26.428;74
00:18;100.58;39.73;18.839;23.131;300
00:24;99.57;39.81;16.871;22.334;421
00:30;97.52;40.02;16.480;22.281;493
00:36;99.12;39.25;17.182;22.034;518
00:42;97.18;39.57;15.644;22.202;565
00:48;96.82;39.76;16.707;23.126;584
00:54;97.27;39.75;17.066;22.219;552
01:00;97.32;39.71;16.964;22.724;521
01:06;97.75;39.15;16.948;22.909;514
01:12;97.73;39.58;16.369;22.793;482
01:18;96.94;40.33;15.926;23.659;450
01:24;97.80;39.32;15.911;23.454;440
01:30;100.23;38.39;16.389;24.248;393
01:36;101.17;37.95;17.145;23.641;388
01:42;100.47;38.26;16.542;22.487;370
01:48;101.17;37.97;16.986;21.733;350
01:54;100.22;38.71;17.828;21.975;341
02:00;100.28;38.84;18.299;22.976;342
02:06;100.07;39.22;18.526;23.532;363
02:12;99.12;39.61;18.625;23.224;366
02:18;98.71;39.71;19.107;23.852;333
02:24;100.35;38.97;18.982;24.002;315
02:30;100.12;39.64;17.977;24.327;330
02:36;101.01;39.88;17.791;24.273;331
02:42;103.33;39.05;18.233;22.783;354
02:48;102.95;39.81;18.488;22.534;355
02:54;104.55;39.80;18.784;22.433;357
03:00;105.25;38.58;19.080;22.358;361
03:06;106.27;38.28;18.764;21.596;347
03:12;104.75;38.31;19.370;23.711;341
03:18;101.81;38.99;18.123;23.377;315
03:24;99.85;39.76;18.397;25.621;252
03:30;98.66;39.05;19.239;26.056;285
03:36;98.34;39.55;19.175;25.105;290
03:42;97.66;40.64;19.267;25.400;274
03:48;96.24;42.48;18.705;23.636;279
03:54;95.31;43.56;18.732;23.475;272
04:00;94.65;43.66;18.527;23.523;297
04:06;96.53;42.20;18.760;22.844;321
04:12;99.27;40.79;19.150;21.877;373
04:18;99.26;40.12;17.751;21.251;397
04:24;100.91;39.96;16.437;21.205;442
04:30;106.73;35.73;17.151;20.389;573
04:36;108.03;34.75;15.656;20.365;724
04:42;105.00;35.83;15.015;21.276;812
04:48;102.42;36.62;15.582;21.974;817
04:54;101.86;36.90;15.099;21.669;819
05:00;102.96;36.64;14.018;21.134;786
05:06;104.96;36.16;14.485;20.990;834
05:12;105.41;36.44;14.249;21.278;868
05:18;103.44;37.63;15.448;21.068;829
05:24;103.41;37.21;15.280;20.517;843
05:30;102.79;37.13;14.478;20.362;857
05:36;103.70;36.63;13.358;19.906;1053
05:42;104.13;36.23;11.988;19.730;1261
05:48;102.74;36.41;12.015;20.253;1348
05:54;102.31;36.66;12.087;19.980;1317
06:00;104.10;35.72;13.079;20.353;1346
06:06;102.07;36.52;12.418;20.297;1427
06:12;97.81;38.20;11.006;19.964;1919
06:18;98.19;38.05;8.804;19.709;2557
06:24;100.01;37.26;9.768;19.854;2954
06:30;98.65;37.81;8.364;19.996;3717
06:36;95.74;38.95;8.824;22.407;4161
06:42;93.96;39.64;9.341;34.073;3908
06:48;90.82;41.06;11.040;47.471;4370
06:54;87.69;42.64;11.275;48.341;5182
07:00;83.55;44.64;13.207;34.108;5686
07:06;77.77;47.79;13.908;43.229;6146
07:12;69.13;52.92;17.660;56.350;6126
07:18;58.00;62.15;21.854;74.082;5856
07:24;49.59;71.15;23.403;75.090;5348
07:30;44.08;81.20;22.576;83.815;5326
07:36;40.65;89.18;21.321;91.495;5257
07:42;40.55;88.39;22.302;98.091;5203
07:48;40.05;88.25;22.670;104.985;5187
07:54;40.59;85.66;24.148;100.505;5234
08:00;41.19;83.36;25.906;116.558;5327
08:06;40.98;83.29;24.924;108.989;5650
08:12;40.49;84.62;25.342;120.361;5885
08:18;40.03;84.38;26.046;117.036;5887
08:24;40.02;84.60;26.685;119.416;5965
08:30;40.71;82.69;26.796;118.689;6262
08:36;40.92;81.15;27.647;127.180;6375
08:42;41.91;78.76;28.680;120.178;6380
08:48;42.36;77.96;28.548;115.704;6340
08:54;44.53;74.30;29.655;120.852;6176
09:00;46.94;70.89;30.825;123.252;6359
09:06;51.42;66.08;31.133;110.609;6189
09:12;57.45;59.89;31.138;107.463;6512
09:18;63.13;55.79;29.618;90.825;6610
09:24;67.54;52.74;27.771;90.310;6668
09:30;72.09;49.71;26.681;83.121;6755
09:36;75.06;48.01;26.072;86.249;6602
09:42;77.89;46.66;24.085;71.633;6400
09:48;80.18;45.56;23.021;66.354;6180
09:54;82.30;44.65;20.893;65.022;6070
10:00;84.24;43.79;19.686;62.255;5842
10:06;84.68;43.76;17.620;48.889;5703
10:12;85.69;43.32;15.867;60.023;5501
10:18;86.80;42.75;15.548;59.177;5446
10:24;87.44;42.39;14.390;52.766;5677
10:30;88.13;42.21;12.514;38.421;5547
10:36;88.84;41.87;12.120;42.566;5764
10:42;88.08;42.33;11.729;41.757;5360
10:48;88.84;41.88;11.900;39.555;5349
10:54;89.22;41.79;11.481;34.207;5120
11:00;89.86;41.48;10.004;26.970;5109
11:06;90.09;41.39;9.708;23.324;4925
11:12;89.74;41.57;9.161;22.301;4914
11:18;89.83;41.59;8.529;21.823;4868
11:24;90.17;41.39;8.374;21.919;5071
11:30;90.45;41.24;8.292;21.707;5125
11:36;90.94;41.05;8.397;21.942;5005
11:42;90.11;41.37;8.267;21.944;5135
11:48;91.04;40.98;8.460;21.683;5037
11:54;91.49;40.83;8.768;21.626;5142
12:00;90.85;41.05;8.195;21.746;5188
12:06;90.83;41.07;8.066;21.626;5107
12:12;91.10;40.90;8.146;21.641;5165
12:18;90.70;41.06;8.261;21.821;5008
12:24;90.88;41.10;8.397;21.792;4914
12:30;91.40;40.88;8.942;22.179;4559
12:36;91.43;40.78;8.947;24.368;4310
12:42;91.76;40.63;9.670;35.680;4196
12:48;92.33;40.37;9.041;25.615;4156
12:54;92.87;40.24;8.616;23.383;4082
13:00;93.13;40.11;8.639;25.261;4075
13:06;92.84;40.14;9.095;23.282;3724
13:12;91.37;40.90;8.118;20.921;4007
13:18;92.05;40.59;7.812;20.941;4332
13:24;91.74;40.71;7.958;21.116;4463
13:30;91.28;40.92;7.749;21.223;4698
13:36;91.11;40.90;8.019;21.599;4887
13:42;90.48;41.14;8.151;21.836;5099
13:48;89.87;41.48;9.093;22.173;5186
13:54;90.72;41.07;9.066;22.316;5457
14:00;90.48;41.25;8.219;21.578;5070
14:06;90.56;41.18;7.987;21.474;5152
14:12;90.92;41.00;8.418;22.404;5072
14:18;89.97;41.50;8.127;22.066;5042
14:24;90.38;41.29;7.785;21.401;5118
14:30;90.36;41.33;7.746;21.442;5104
14:36;90.93;40.99;7.885;21.554;5068
14:42;90.93;40.91;8.976;23.119;5126
14:48;90.95;41.01;8.415;21.544;5015
14:54;90.43;41.25;7.971;21.666;4980
15:00;90.01;41.47;7.616;21.703;4892
15:06;90.73;41.15;7.772;21.393;4670
15:12;90.17;41.46;7.690;21.456;4789
15:18;89.86;41.55;7.690;21.681;4864
15:24;89.86;41.45;8.046;21.892;4704
15:30;89.30;41.85;8.133;21.756;4729
15:36;89.42;41.69;8.017;21.958;4772
15:42;88.41;42.37;8.484;23.608;4751
15:48;88.34;42.23;9.298;30.659;4698
15:54;88.32;42.22;9.771;36.774;4467
16:00;88.19;42.29;10.270;41.036;4458
16:06;87.45;42.62;11.105;40.499;4354
16:12;86.80;42.93;10.923;33.542;4466
16:18;84.68;44.02;11.785;27.854;4531
16:24;84.05;44.28;11.797;27.151;4288
16:30;83.39;44.72;13.526;31.703;4491
16:36;82.59;45.14;14.575;32.221;4450
16:42;81.49;45.60;16.080;34.303;4516
16:48;79.62;46.88;17.424;39.127;4629
16:54;78.74;47.26;18.291;39.905;4526
17:00;78.40;47.40;18.787;39.051;4473
17:06;78.29;47.56;19.260;45.920;4603
17:12;77.79;47.73;20.228;44.625;4610
17:18;75.66;49.10;21.361;46.757;4563
17:24;74.09;50.11;22.107;49.332;4426
17:30;73.74;50.35;22.426;46.682;4515
17:36;73.39;50.54;22.978;55.167;4319
17:42;74.03;50.05;23.033;51.210;4232
17:48;72.80;50.84;23.569;57.795;4177
17:54;73.68;50.34;24.179;66.246;4366
18:00;75.09;49.19;24.013;68.484;4410
18:06;75.86;48.90;23.779;77.144;4397
18:12;76.38;48.44;22.775;72.957;4563
18:18;76.37;48.29;23.097;83.839;4466
18:24;75.35;49.05;23.552;95.269;4532
18:30;76.02;48.51;23.456;95.346;4492
18:36;76.61;48.24;23.817;95.764;4442
18:42;77.46;47.67;24.324;110.674;4083
18:48;78.03;47.40;24.350;95.032;4320
18:54;78.92;47.01;23.435;87.250;4241
19:00;80.81;45.75;22.924;85.009;4292
19:06;82.23;45.16;22.647;78.097;4203
19:12;82.82;44.86;21.192;65.933;4158
19:18;84.11;44.21;19.804;63.425;4167
19:24;85.55;43.45;19.495;64.175;4014
19:30;87.14;42.60;18.111;58.710;4050
19:36;88.76;41.84;16.937;51.257;3954
19:42;89.69;41.40;15.628;45.742;3366
19:48;91.71;40.47;14.475;44.256;3014
19:54;93.44;39.87;12.602;30.196;2903
20:00;94.69;39.14;12.702;25.565;2781
20:06;95.33;39.01;11.618;35.501;2504
20:12;95.02;39.11;10.943;24.933;2655
20:18;95.82;38.89;10.903;22.392;2447
20:24;96.88;38.35;10.864;21.572;2198
20:30;97.78;38.15;10.323;20.284;2034
20:36;98.81;37.83;10.245;20.012;1906
20:42;98.78;37.77;10.716;20.195;1789
20:48;98.32;37.89;11.497;20.469;1634
20:54;98.60;37.85;12.362;20.533;1420
21:00;98.58;37.85;11.800;20.613;1395
21:06;98.44;37.95;12.384;20.710;1365
21:12;96.97;38.36;13.318;21.105;1327
21:18;97.20;38.25;14.331;22.386;1364
21:24;98.85;37.58;15.350;23.491;1277
21:30;97.92;38.00;15.714;22.896;1208
21:36;97.14;38.52;14.990;23.017;1245
21:42;96.58;38.45;14.795;22.015;1188
21:48;96.47;38.66;14.830;21.558;1140
21:54;95.31;39.01;14.984;22.506;1151
22:00;96.01;38.71;15.720;22.861;1098
