heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;113.20;51.46;11.651;5.208;65
00:06;94.60;62.00;0.000;0.000;1
00:12;112.18;52.13;16.804;8.587;10
00:18;114.51;50.90;11.833;5.697;44
00:24;113.74;51.27;13.797;6.772;60
00:30;114.38;50.97;13.673;6.450;78
00:36;115.61;50.48;13.688;6.282;85
00:42;115.10;50.72;14.349;6.895;91
00:48;114.33;51.01;13.769;6.657;94
00:54;113.63;51.36;12.748;6.144;92
01:00;114.32;51.00;9.644;4.463;88
01:06;113.60;51.30;11.324;5.293;80
01:12;112.12;52.00;11.024;5.156;73
01:18;112.19;52.00;13.772;6.609;66
01:24;111.02;52.57;13.072;6.464;69
01:30;111.07;52.57;13.034;6.355;70
01:36;110.75;52.69;13.031;6.436;68
01:42;109.87;53.11;14.101;7.246;60
01:48;110.90;52.54;12.824;6.332;56
01:54;109.51;53.24;10.867;5.463;51
02:00;110.64;52.68;11.742;5.962;49
02:06;110.41;52.80;11.418;5.807;46
02:12;108.41;53.79;15.370;11.712;46
02:18;110.49;52.74;15.159;11.502;47
02:24;111.49;52.30;15.896;11.550;44
02:30;109.40;53.27;16.749;12.267;39
02:36;110.76;52.69;16.271;12.225;37
02:42;109.38;53.33;16.543;12.304;39
02:48;111.98;52.07;12.196;5.720;38
02:54;111.31;52.42;12.437;6.099;36
03:00;109.49;53.27;13.828;7.559;36
03:06;108.70;53.65;14.858;8.202;37
03:12;107.20;54.46;14.547;8.064;36
03:18;110.39;52.84;12.871;6.571;36
03:24;106.64;54.70;10.772;5.855;36
03:30;105.13;55.46;12.089;6.667;38
03:36;104.77;55.59;11.202;6.293;38
03:42;105.10;55.41;10.952;6.128;33
03:48;106.62;54.67;9.641;5.366;36
03:54;108.55;53.78;10.747;5.844;39
04:00;108.08;54.00;11.436;6.199;39
04:06;108.66;53.70;9.539;4.765;44
04:12;108.58;53.77;9.218;4.635;44
04:18;108.79;53.71;9.421;4.612;52
04:24;108.13;53.99;10.827;5.924;56
04:30;107.48;54.24;10.879;5.889;59
04:36;109.42;53.29;11.868;6.513;74
04:42;109.42;53.24;11.725;6.271;84
04:48;109.00;53.44;11.013;5.549;80
04:54;107.89;54.03;12.821;7.662;98
05:00;106.64;54.63;13.191;6.901;101
05:06;108.55;53.70;11.892;6.090;125
05:12;109.68;53.21;11.259;5.906;128
05:18;108.50;53.75;13.140;6.844;138
05:24;108.75;53.64;10.235;5.226;150
05:30;111.54;52.30;9.535;4.585;177
05:36;110.71;52.64;8.017;3.710;168
05:42;110.97;52.47;8.476;4.174;165
05:48;112.71;51.76;10.878;5.076;200
05:54;111.60;52.20;11.520;5.569;198
06:00;113.27;51.44;11.569;5.483;199
06:06;111.70;52.20;10.085;5.004;216
06:12;110.60;52.69;8.632;4.577;194
06:18;109.11;53.45;9.135;4.832;223
