heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;116.65;56.76;10.844;5.289;46
00:06;98.62;66.90;21.546;16.530;6
00:12;110.39;59.94;14.257;8.216;17
00:18;112.61;58.66;11.619;6.405;57
00:24;112.82;58.54;12.975;7.224;75
00:30;110.43;59.88;17.565;22.260;83
00:36;112.04;58.98;17.962;21.772;84
00:42;111.76;59.09;18.416;22.042;91
00:48;109.77;60.14;18.892;22.009;96
00:54;111.07;59.40;15.753;10.834;94
01:00;111.84;58.99;17.318;11.057;82
01:06;111.71;59.12;17.115;10.916;80
01:12;114.41;57.73;18.064;11.947;78
01:18;111.27;59.33;18.320;11.656;71
01:24;109.66;60.19;17.749;11.640;68
01:30;111.40;59.29;16.627;10.196;60
01:36;112.63;58.65;16.401;10.056;67
01:42;109.91;60.10;17.779;11.438;58
01:48;107.26;61.61;17.114;10.401;60
01:54;108.70;60.89;16.754;10.174;60
02:00;108.04;61.26;16.753;10.309;59
02:06;107.04;61.80;17.245;10.640;56
02:12;108.47;60.89;16.837;10.553;55
02:18;110.72;59.68;15.421;9.359;53
02:24;108.82;60.75;15.027;8.934;57
02:30;109.26;60.49;16.773;9.936;54
02:36;108.27;61.01;16.151;9.864;51
02:42;108.14;61.07;17.711;10.408;61
02:48;108.21;61.06;18.122;10.576;51
02:54;103.89;63.61;16.818;10.768;62
03:00;108.29;61.01;14.705;10.049;71
03:06;107.39;61.58;15.248;10.262;69
03:12;108.70;60.78;14.876;9.805;72
03:18;108.16;61.10;16.232;10.827;67
03:24;108.41;60.98;16.272;10.649;69
03:30;107.60;61.44;17.652;11.181;73
03:36;105.71;62.58;19.269;12.820;54
03:42;104.19;63.42;19.249;13.646;49
03:48;99.81;66.25;17.965;12.904;49
03:54;104.15;63.51;16.912;11.394;56
04:00;104.13;63.52;18.081;12.249;55
04:06;104.56;63.26;17.235;11.874;60
04:12;106.44;62.09;16.904;12.624;65
04:18;107.65;61.41;14.977;9.027;77
04:24;106.79;61.96;16.347;11.111;78
04:30;106.57;62.10;16.747;11.629;81
04:36;104.86;63.03;18.388;16.299;89
04:42;103.77;63.72;20.380;17.915;87
04:48;111.02;59.58;20.124;16.058;92
04:54;110.12;60.07;19.403;13.034;98
05:00;112.58;58.66;20.159;15.820;98
05:06;112.83;58.52;19.615;11.691;97
05:12;108.50;60.90;19.633;12.249;90
05:18;110.05;60.05;18.350;10.995;91
05:24;106.92;61.76;18.013;11.544;106
05:30;108.79;60.77;17.223;11.806;116
05:36;108.74;60.80;14.556;9.306;123
05:42;107.35;61.57;12.917;8.206;128
05:48;108.97;60.64;11.809;7.636;119
05:54;108.61;60.83;13.985;8.663;119
06:00;107.25;61.66;12.026;7.662;130
06:06;108.78;60.74;12.709;8.375;148
06:12;111.61;59.18;11.151;6.455;232
06:18;109.13;60.52;15.176;12.225;187
06:24;105.39;62.76;15.262;17.874;199
06:30;106.65;61.96;15.642;45.209;237
06:36;106.36;62.07;14.476;75.398;282
06:42;103.72;63.69;14.572;115.732;320
06:48;101.01;65.41;14.357;153.663;430
06:54;100.78;65.56;14.239;87.333;458
07:00;99.01;66.82;12.195;34.534;476
07:06;99.31;66.57;10.226;13.438;489
07:12;98.19;67.26;12.502;48.366;500
07:18;97.35;67.86;12.621;79.327;503
07:24;93.97;70.30;13.006;150.544;563
07:30;97.04;68.04;12.679;62.716;647
07:36;95.27;69.37;13.255;100.818;616
07:42;94.54;69.93;14.304;111.063;572
07:48;91.34;72.34;16.262;126.281;611
07:54;91.50;72.19;16.625;138.860;671
08:00;91.74;72.05;17.749;153.975;721
08:06;89.81;73.55;19.975;138.519;742
08:12;88.41;74.76;20.827;95.992;819
08:18;85.64;77.20;22.255;77.216;802
08:24;84.39;78.31;24.138;58.439;828
08:30;81.89;80.69;27.653;96.798;835
08:36;80.75;81.78;27.160;100.018;832
08:42;80.26;82.29;27.593;93.331;819
08:48;81.78;80.88;27.267;101.177;858
08:54;77.15;85.68;29.069;98.897;879
09:00;79.12;83.66;27.919;97.970;784
09:06;78.66;84.12;30.089;123.169;783
09:12;83.54;79.14;28.040;90.087;810
09:18;87.92;75.20;24.618;74.024;789
09:24;92.64;71.29;22.928;69.557;749
09:30;94.06;70.31;19.147;70.964;719
09:36;96.08;68.75;19.676;104.250;680
09:42;96.77;68.38;17.485;72.059;730
09:48;97.76;67.62;15.182;17.913;730
09:54;99.69;66.35;15.386;31.359;718
10:00;101.32;65.27;12.949;20.411;680
10:06;101.44;65.20;13.125;29.266;693
10:12;101.72;65.05;8.824;11.206;710
10:18;100.93;65.52;9.498;9.457;676
10:24;102.49;64.50;10.323;9.155;638
10:30;101.93;64.82;9.909;12.126;660
10:36;102.01;64.84;11.066;22.434;673
10:42;101.16;65.29;10.956;18.661;671
10:48;100.75;65.57;10.687;17.106;684
10:54;100.47;65.78;11.734;36.175;678
11:00;103.19;64.07;8.208;6.948;639
11:06;104.03;63.59;5.465;3.480;654
11:12;103.40;64.00;5.167;3.224;618
11:18;103.46;63.91;5.058;3.187;658
11:24;102.26;64.63;5.327;3.449;660
11:30;102.83;64.30;6.345;4.245;683
11:36;103.56;63.80;5.346;3.443;723
11:42;103.13;64.09;5.930;3.744;696
11:48;103.68;63.75;5.685;3.656;722
11:54;104.02;63.56;5.485;3.454;747
12:00;104.51;63.32;5.098;3.237;747
12:06;104.50;63.26;4.982;3.035;700
12:12;104.20;63.33;5.252;3.281;688
12:18;102.94;64.20;5.905;3.774;698
12:24;103.03;64.17;5.835;3.782;656
12:30;103.62;63.82;5.481;3.374;686
12:36;105.00;62.94;5.703;3.476;610
12:42;103.50;63.85;6.101;4.009;596
12:48;106.45;62.07;6.637;4.075;559
12:54;107.13;61.69;6.369;3.799;507
13:00;106.84;61.86;5.581;3.258;550
13:06;106.72;61.96;7.821;5.233;518
13:12;106.60;61.98;6.769;4.180;562
13:18;107.37;61.55;4.362;2.577;627
13:24;106.24;62.26;6.018;3.458;605
13:30;106.90;61.78;5.796;3.422;624
13:36;106.42;62.11;5.107;3.005;665
13:42;105.30;62.71;6.128;3.665;656
13:48;106.08;62.30;5.227;3.104;653
13:54;105.52;62.65;4.899;2.897;644
14:00;105.11;62.86;5.695;3.443;608
14:06;105.74;62.54;6.026;3.834;638
14:12;105.79;62.54;5.773;3.502;660
14:18;103.68;63.76;5.927;3.904;652
14:24;103.10;64.05;7.516;5.399;731
14:30;103.17;64.05;8.236;7.767;730
14:36;103.47;63.83;8.270;7.058;695
14:42;102.95;64.17;9.093;11.897;689
14:48;103.93;63.67;10.317;16.891;691
14:54;103.58;63.82;10.521;12.895;651
15:00;102.76;64.37;11.205;22.245;656
15:06;102.36;64.53;11.726;23.688;662
15:12;102.32;64.60;12.155;19.681;685
15:18;102.44;64.51;10.662;19.338;707
15:24;102.19;64.63;9.928;15.460;692
15:30;102.65;64.46;10.475;17.609;676
15:36;101.86;64.84;9.751;12.298;683
15:42;103.07;64.09;7.430;6.231;688
15:48;102.50;64.52;5.654;3.651;697
15:54;102.00;64.87;5.368;3.419;669
16:00;102.25;64.57;4.998;3.194;702
16:06;101.44;65.14;5.401;3.454;689
16:12;99.21;66.61;8.253;6.523;721
16:18;97.72;67.65;10.389;22.214;721
16:24;98.55;67.17;7.395;7.546;785
16:30;99.07;66.77;6.181;4.531;840
16:36;99.89;66.12;6.533;4.672;846
16:42;96.85;68.30;9.202;8.267;746
16:48;92.57;71.38;15.817;24.475;755
16:54;91.05;72.58;17.284;33.729;764
17:00;89.81;73.59;19.858;46.272;810
17:06;88.74;74.47;21.852;52.045;741
17:12;86.44;76.50;22.715;57.521;669
17:18;86.44;76.43;23.827;66.766;640
17:24;84.55;78.14;22.971;53.317;716
17:30;83.91;78.77;22.705;46.781;753
17:36;83.18;79.48;23.765;56.313;716
17:42;83.35;79.28;24.930;57.987;719
17:48;84.72;77.95;24.483;63.162;742
17:54;87.65;75.40;22.215;45.910;748
18:00;88.24;74.89;24.481;57.118;685
18:06;88.85;74.39;22.108;46.347;730
18:12;90.04;73.40;22.014;40.197;769
18:18;90.44;73.10;20.886;39.881;719
18:24;91.27;72.42;21.855;48.345;698
18:30;89.84;73.63;23.482;57.692;748
18:36;90.52;72.99;24.115;62.130;770
18:42;91.62;72.17;24.659;78.155;741
18:48;94.75;69.80;23.051;76.045;795
18:54;94.88;69.70;21.809;104.362;770
19:00;97.46;67.80;23.124;74.427;772
19:06;98.66;66.98;19.441;33.355;691
19:12;100.64;65.71;17.771;34.769;664
19:18;102.17;64.76;16.404;30.367;640
19:24;103.96;63.57;14.429;41.652;619
19:30;103.98;63.58;12.618;21.034;627
19:36;105.90;62.38;11.481;18.307;573
19:42;106.33;62.08;6.654;4.322;510
19:48;107.46;61.49;7.512;4.532;562
19:54;109.54;60.33;6.644;3.796;532
20:00;110.55;59.79;6.348;3.614;504
20:06;112.44;58.77;7.333;3.842;501
20:12;109.61;60.32;7.144;4.187;458
20:18;111.40;59.32;6.816;3.913;437
20:24;111.43;59.32;7.841;4.389;356
20:30;112.05;59.01;9.224;6.707;333
20:36;112.57;58.73;7.257;4.166;336
20:42;110.94;59.59;8.811;5.360;308
20:48;112.00;59.05;9.754;5.450;268
20:54;113.66;58.19;11.510;7.445;239
21:00;112.78;58.65;10.099;5.723;212
21:06;112.88;58.58;11.776;8.089;204
