heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;100.23;52.33;17.290;9.911;50
00:06;103.12;50.71;13.184;6.185;5
00:12;94.90;55.25;16.844;12.761;21
00:18;107.24;48.84;13.695;6.838;77
00:24;104.71;50.09;13.541;6.866;87
00:30;103.51;50.69;12.591;6.793;96
00:36;103.77;50.53;15.839;9.623;90
00:42;106.24;49.32;16.642;9.923;97
00:48;106.85;49.05;16.120;8.119;97
00:54;105.70;49.62;17.129;9.384;97
01:00;105.50;49.69;17.354;8.916;91
01:06;105.28;49.82;15.504;7.467;92
01:12;107.80;48.68;15.920;7.437;80
01:18;104.12;50.36;18.031;10.920;78
01:24;104.93;49.91;18.057;10.792;72
01:30;104.10;50.32;19.443;11.476;59
01:36;102.98;50.85;18.760;11.428;63
01:42;101.16;51.72;20.496;12.698;61
01:48;102.10;51.21;21.022;12.410;61
01:54;102.96;50.79;17.277;8.971;54
02:00;100.60;52.01;16.254;8.640;58
02:06;100.22;52.26;15.575;8.300;58
02:12;102.60;51.11;17.056;9.059;57
02:18;100.51;52.14;14.858;8.114;59
02:24;99.51;52.71;15.289;8.436;59
02:30;101.19;51.79;17.157;8.726;59
02:36;102.09;51.29;16.525;8.307;60
02:42;104.29;50.24;19.252;11.686;57
02:48;105.68;49.56;19.492;11.694;52
02:54;99.47;52.70;17.758;12.477;53
03:00;99.66;52.63;14.718;8.764;70
03:06;101.50;51.71;16.170;9.969;73
03:12;102.45;51.25;15.165;8.831;77
03:18;102.61;51.14;15.403;8.909;72
03:24;103.55;50.70;16.434;9.845;67
03:30;103.55;50.70;17.553;10.277;73
03:36;102.45;51.16;22.798;14.780;50
03:42;102.28;51.21;19.404;12.575;45
03:48;96.64;54.24;19.098;12.237;43
03:54;98.09;53.41;19.138;12.377;52
04:00;100.01;52.39;18.513;12.029;55
04:06;99.98;52.35;18.560;12.149;58
04:12;100.98;51.82;16.602;9.677;68
04:18;102.95;50.87;13.561;7.224;73
04:24;104.06;50.34;15.329;8.698;85
04:30;102.75;50.97;15.515;8.092;91
04:36;96.50;54.30;12.817;7.304;121
04:42;95.02;55.15;12.733;7.574;127
04:48;97.71;53.62;15.660;9.275;116
04:54;100.56;52.07;18.741;11.585;115
05:00;102.53;51.10;18.306;10.887;115
05:06;101.87;51.47;18.475;11.379;114
05:12;100.80;52.01;18.294;11.155;111
05:18;97.60;53.75;17.449;11.293;108
05:24;101.58;51.63;16.129;8.698;111
05:30;102.25;51.25;19.409;16.961;115
05:36;100.54;52.14;16.481;11.883;128
05:42;99.93;52.41;18.091;30.015;132
05:48;101.80;51.52;16.912;28.215;143
05:54;100.83;52.00;18.175;40.465;129
06:00;100.60;52.06;17.522;34.057;140
06:06;97.26;53.84;17.920;60.957;156
06:12;102.23;51.33;17.289;113.645;255
06:18;99.88;52.50;17.375;103.233;218
06:24;98.36;53.35;18.070;211.984;224
06:30;99.40;52.71;14.539;83.127;240
06:36;98.92;52.98;13.969;88.212;286
06:42;97.76;53.60;13.972;95.186;305
06:48;93.55;56.05;13.704;119.819;415
06:54;92.10;56.94;11.940;40.205;462
07:00;91.69;57.11;10.236;11.471;473
07:06;89.40;58.63;11.614;37.884;497
07:12;89.77;58.42;12.246;61.145;480
07:18;86.06;60.94;13.136;89.935;494
