heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;91.96;65.79;9.719;7.673;46
00:06;92.55;65.40;3.750;2.500;3
00:12;90.80;66.79;12.741;10.533;14
00:18;93.08;64.99;8.719;5.795;58
00:24;92.70;65.26;8.209;5.724;71
00:30;90.58;66.86;7.525;5.626;85
00:36;92.89;65.15;8.820;5.849;76
00:42;91.92;65.94;7.975;5.473;78
00:48;91.24;66.42;8.154;5.860;83
00:54;90.33;67.08;9.431;7.789;78
01:00;91.20;66.39;9.349;6.369;74
01:06;93.13;64.95;10.419;6.785;72
01:12;93.24;64.85;10.723;7.171;72
01:18;92.74;65.23;9.528;6.552;71
01:24;92.01;65.79;9.153;6.294;69
01:30;92.28;65.55;9.428;6.330;62
01:36;93.03;65.05;8.917;5.963;63
01:42;91.55;66.08;9.715;7.888;51
01:48;91.78;65.94;9.910;7.874;50
01:54;92.64;65.38;10.403;7.372;54
02:00;91.41;66.25;11.784;9.449;55
02:06;90.30;67.04;9.094;7.121;55
02:12;91.78;65.89;8.770;6.590;59
02:18;90.27;67.02;9.383;7.509;63
02:24;90.18;67.11;9.674;7.887;65
02:30;92.09;65.74;10.504;8.354;55
02:36;89.80;67.35;10.366;8.427;52
02:42;90.60;66.81;12.776;10.669;61
02:48;91.06;66.42;11.625;10.233;74
02:54;92.44;65.44;9.626;7.348;71
03:00;92.18;65.76;9.630;8.573;69
03:06;93.53;64.69;7.920;5.406;79
03:12;92.85;65.19;8.465;5.868;77
03:18;90.96;66.53;8.135;6.208;71
03:24;90.17;67.10;8.885;7.440;70
03:30;90.72;66.71;9.046;7.553;75
03:36;90.31;66.98;9.172;7.790;61
03:42;89.01;68.00;9.806;8.480;51
03:48;91.00;66.45;11.491;9.266;40
03:54;92.52;65.30;8.701;5.646;42
04:00;92.98;64.99;9.813;6.753;43
04:06;90.93;66.51;10.285;7.912;51
04:12;90.23;67.00;9.387;7.556;55
04:18;90.44;66.92;10.662;8.187;64
04:24;90.38;66.97;10.086;8.095;70
04:30;92.58;65.45;9.906;6.593;80
04:36;92.20;65.64;6.858;4.812;121
04:42;90.59;66.88;7.002;5.425;121
04:48;88.87;68.10;9.154;8.677;126
04:54;90.09;67.20;8.690;7.215;130
05:00;91.19;66.36;8.425;6.765;110
05:06;93.38;64.76;10.530;8.409;89
05:12;93.23;64.90;9.898;7.527;97
05:18;89.78;67.48;10.817;7.739;104
05:24;91.23;66.41;11.485;7.836;100
05:30;91.45;66.19;11.895;8.157;110
05:36;92.10;65.69;10.174;7.359;121
05:42;94.11;64.39;9.079;6.356;148
05:48;95.29;63.61;7.933;4.995;160
05:54;93.90;64.53;8.506;5.849;134
06:00;93.15;65.00;9.150;6.477;138
06:06;92.36;65.52;8.646;6.270;138
06:12;94.28;64.22;6.964;4.920;233
06:18;89.64;67.54;6.382;4.786;341
06:24;90.67;66.73;5.599;4.284;372
06:30;90.33;67.04;4.374;3.177;417
06:36;88.06;68.75;4.969;4.129;413
06:42;85.77;70.60;4.399;3.794;522
06:48;84.65;71.51;4.845;4.087;556
06:54;79.66;75.96;8.149;20.174;612
07:00;74.80;80.95;10.416;117.422;620
07:06;62.56;96.75;13.911;183.499;745
07:12;47.35;127.76;12.161;103.857;791
07:18;39.91;151.71;10.437;194.754;743
07:24;36.39;166.30;11.133;156.801;738
07:30;35.07;172.60;11.155;168.970;741
07:36;34.23;176.83;11.222;178.691;802
07:42;32.47;186.48;11.035;108.883;823
07:48;31.42;192.73;10.930;134.269;788
07:54;31.95;189.47;10.962;155.357;816
08:00;32.05;188.81;11.722;151.040;815
08:06;31.74;190.60;9.068;88.911;801
08:12;30.11;200.96;10.174;131.982;851
08:18;28.89;209.59;10.698;118.550;902
08:24;29.10;208.13;8.984;99.860;945
08:30;28.75;210.62;10.748;116.900;928
08:36;29.17;207.50;9.643;102.879;976
08:42;28.19;214.75;9.388;97.732;1018
08:48;30.68;197.32;10.266;90.354;1058
08:54;28.54;211.93;11.158;139.985;956
09:00;30.90;195.87;11.335;170.464;1063
09:06;33.50;180.77;13.280;159.069;1108
09:12;36.58;165.44;13.448;172.859;1154
09:18;37.24;162.55;16.875;183.026;1194
09:24;38.72;156.30;18.926;209.141;1250
09:30;43.30;139.81;22.507;177.136;1208
09:36;48.08;125.80;25.149;125.136;1177
09:42;54.08;111.99;25.693;148.835;1153
09:48;59.94;100.96;26.188;209.233;1085
09:54;64.05;94.48;27.065;167.481;1044
10:00;68.09;88.92;25.208;170.440;961
10:06;71.99;84.10;22.994;217.658;924
10:12;72.88;83.06;22.785;164.403;937
10:18;75.28;80.34;22.043;147.692;916
10:24;76.63;79.00;20.445;134.395;924
10:30;78.70;76.93;18.135;125.837;907
10:36;80.15;75.52;18.208;161.029;926
10:42;79.50;76.15;18.022;134.675;886
10:48;80.59;75.10;16.666;129.247;822
10:54;81.78;74.03;15.150;82.134;858
11:00;81.24;74.54;14.454;59.701;804
11:06;82.16;73.74;13.476;47.207;819
11:12;82.91;73.06;12.010;26.543;778
11:18;83.46;72.54;8.331;11.939;780
11:24;85.25;71.00;3.410;2.930;756
11:30;84.84;71.35;3.683;3.176;790
11:36;84.80;71.38;3.544;3.009;815
11:42;85.83;70.48;3.828;3.404;771
11:48;85.76;70.54;3.479;2.923;769
11:54;86.60;69.85;2.942;2.402;772
12:00;86.23;70.20;3.779;3.182;797
12:06;86.27;70.20;3.611;3.015;747
12:12;85.87;70.47;3.122;2.557;751
12:18;85.60;70.72;3.832;3.420;723
12:24;84.22;71.86;9.159;25.513;708
12:30;84.23;71.83;11.250;77.076;696
12:36;84.39;71.73;11.728;134.713;700
12:42;85.05;71.18;10.628;95.504;601
12:48;85.20;71.02;10.399;57.536;637
12:54;85.26;71.02;10.710;69.628;630
13:00;85.64;70.67;10.363;55.945;690
13:06;84.94;71.30;7.345;14.526;673
13:12;84.40;71.74;6.734;11.055;647
13:18;84.78;71.45;6.136;7.899;772
13:24;84.66;71.45;3.321;2.883;800
13:30;85.32;70.94;3.746;3.199;847
13:36;85.30;71.00;2.756;2.344;873
13:42;84.70;71.47;3.197;2.843;879
13:48;83.95;72.14;3.479;3.127;826
13:54;84.84;71.35;3.350;2.966;821
14:00;84.74;71.37;3.293;2.900;807
14:06;84.81;71.36;3.863;3.454;829
14:12;85.16;71.07;3.427;3.005;829
14:18;85.49;70.78;3.433;2.812;805
14:24;84.65;71.52;3.599;3.403;769
14:30;84.95;71.25;2.903;2.521;809
14:36;84.69;71.48;3.159;2.757;800
14:42;85.45;70.80;3.485;2.887;792
14:48;86.01;70.44;3.740;3.093;776
14:54;85.75;70.64;3.183;2.688;779
15:00;85.05;71.22;3.529;2.994;756
15:06;85.46;70.78;3.230;2.771;734
15:12;84.78;71.47;3.509;2.975;681
15:18;84.07;72.02;3.851;3.372;756
15:24;83.64;72.37;5.234;6.043;736
15:30;82.84;73.11;7.739;17.344;728
15:36;83.79;72.24;9.843;57.345;687
15:42;83.33;72.68;10.578;113.326;732
15:48;82.37;73.47;10.519;164.739;704
15:54;81.25;74.43;10.407;138.427;675
16:00;81.74;74.05;10.208;113.656;672
16:06;81.06;74.73;10.168;95.702;671
16:12;79.96;75.71;9.113;17.086;676
16:18;76.66;79.02;12.636;32.898;699
16:24;75.20;80.42;14.167;55.160;651
16:30;73.37;82.49;15.407;45.287;672
16:36;71.98;84.07;16.422;50.324;725
16:42;72.24;83.78;17.206;46.577;715
16:48;70.05;86.41;18.100;52.859;699
16:54;65.61;92.24;19.559;56.457;726
17:00;62.66;96.50;20.853;64.754;730
17:06;60.60;99.87;21.756;64.545;692
17:12;61.90;97.77;23.339;68.308;649
17:18;61.23;98.85;22.129;68.752;600
17:24;58.70;103.14;23.420;81.707;638
17:30;58.92;102.73;21.369;66.489;701
17:36;56.60;106.96;21.583;62.777;657
17:42;55.18;109.78;23.759;87.273;635
17:48;55.48;109.10;21.693;68.976;620
17:54;54.55;111.01;21.723;79.892;661
18:00;54.87;110.34;22.874;105.359;674
18:06;56.35;107.54;22.708;117.869;689
18:12;57.56;105.13;23.225;116.734;697
18:18;57.72;104.90;24.173;125.553;709
18:24;58.56;103.29;24.348;127.035;664
18:30;60.31;100.28;23.944;138.962;665
18:36;60.25;100.45;23.418;139.510;675
18:42;61.60;98.33;23.047;133.158;689
18:48;63.74;94.96;22.731;109.341;707
18:54;64.82;93.32;22.860;114.527;653
19:00;67.09;90.17;21.714;90.550;681
19:06;69.21;87.44;20.750;65.192;721
19:12;70.83;85.51;20.033;56.489;699
19:18;72.22;83.85;18.534;44.994;666
19:24;74.10;81.75;17.774;45.574;642
19:30;76.15;79.43;16.843;44.013;595
19:36;77.23;78.37;17.667;54.869;614
19:42;79.48;76.21;14.345;36.663;584
19:48;80.79;74.93;11.706;33.838;545
19:54;84.03;72.09;10.624;27.711;523
20:00;84.84;71.42;10.808;65.560;526
20:06;86.56;69.96;9.380;23.337;504
20:12;87.06;69.54;9.555;22.851;437
20:18;86.90;69.75;7.900;17.157;471
20:24;87.11;69.51;9.187;20.645;381
20:30;87.25;69.31;7.225;7.209;342
20:36;89.84;67.35;5.075;4.117;363
20:42;89.86;67.37;6.666;5.327;311
20:48;89.69;67.49;4.666;3.546;303
20:54;89.74;67.39;6.872;5.429;268
21:00;90.35;67.07;7.350;5.738;252
21:06;89.11;67.91;10.381;11.333;244
21:12;88.72;68.21;11.165;22.334;223
21:18;89.73;67.51;10.223;17.655;214
21:24;88.20;68.60;11.691;16.270;201
21:30;86.91;69.66;13.976;25.877;192
21:36;88.93;68.02;11.156;19.536;193
21:42;89.12;67.84;9.890;10.258;186
21:48;88.62;68.23;10.641;10.937;168
21:54;90.38;67.01;8.901;6.924;144
22:00;88.61;68.36;11.569;21.721;149
22:06;89.24;67.83;13.113;41.804;142
22:12;88.58;68.32;13.253;35.323;148
22:18;88.60;68.26;12.880;44.268;154
22:24;90.77;66.72;15.292;71.806;153
22:30;88.96;68.09;14.340;61.035;147
22:36;87.65;69.07;13.276;78.628;141
22:42;88.05;68.78;13.678;70.941;135
22:48;88.14;68.63;14.453;87.233;134
22:54;87.11;69.48;13.694;90.025;147
23:00;88.08;68.66;16.618;81.032;137
23:06;88.54;68.33;13.267;53.812;126
23:12;87.76;68.96;13.978;74.171;130
23:18;88.62;68.37;14.126;74.107;142
23:24;88.84;68.06;15.567;86.767;132
23:30;86.91;69.66;14.736;55.396;132
23:36;89.24;67.86;14.166;69.946;126
23:42;88.15;68.71;13.704;49.590;144
23:48;87.11;69.54;14.266;62.018;125
23:54;87.65;69.06;13.280;54.057;130
