heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;89.40;74.43;11.220;10.244;40
00:06;88.80;74.99;1.100;1.000;2
00:12;92.74;71.65;10.653;8.381;16
00:18;93.16;71.47;9.617;7.432;62
00:24;91.69;72.60;12.304;9.155;80
00:30;89.67;74.21;9.361;8.197;86
00:36;89.73;74.20;8.963;7.645;77
00:42;90.50;73.48;11.172;8.812;82
00:48;90.41;73.61;11.721;11.476;82
00:54;90.59;73.47;10.904;9.058;76
01:00;89.37;74.49;11.632;10.469;71
01:06;90.75;73.31;12.708;10.636;72
01:12;91.40;72.80;12.315;10.095;71
01:18;92.28;72.04;13.171;9.871;66
01:24;92.57;71.91;12.424;9.009;72
01:30;91.81;72.46;12.349;8.868;64
01:36;91.60;72.67;12.652;8.921;66
01:42;91.33;72.81;10.503;8.561;56
01:48;89.85;73.99;10.976;10.208;56
01:54;89.59;74.23;10.441;8.887;57
02:00;89.37;74.39;9.944;8.883;52
02:06;88.71;74.96;9.657;8.728;56
02:12;89.65;74.19;11.751;10.712;58
02:18;88.27;75.34;11.482;10.550;57
02:24;90.14;73.75;14.033;11.810;62
02:30;93.45;71.10;13.848;10.774;57
02:36;90.00;73.83;13.075;10.094;52
02:42;92.95;71.60;13.005;10.292;60
02:48;95.88;69.36;13.311;10.615;71
02:54;98.90;67.22;13.996;10.492;62
03:00;93.65;71.05;11.462;8.377;67
03:06;94.55;70.42;12.157;8.782;71
03:12;93.93;70.92;12.257;9.012;71
03:18;93.86;70.94;11.701;8.632;64
03:24;91.58;72.68;10.491;7.910;62
03:30;91.02;73.11;9.082;7.149;65
03:36;92.88;71.66;9.729;6.885;58
03:42;91.26;72.87;7.397;5.901;50
03:48;89.90;73.97;7.346;6.149;40
03:54;89.56;74.22;8.311;6.997;42
04:00;92.00;72.38;10.416;7.955;43
04:06;90.48;73.56;7.731;6.484;50
04:12;90.55;73.48;8.452;6.782;53
04:18;91.13;73.06;11.214;8.317;61
04:24;91.64;72.66;9.090;7.019;68
04:30;91.42;72.81;8.729;7.685;75
04:36;92.72;71.82;8.354;6.613;103
04:42;89.25;74.53;8.159;7.176;118
04:48;89.72;74.19;7.730;6.941;125
04:54;89.83;74.06;7.747;6.366;117
05:00;89.95;73.96;7.172;6.134;112
05:06;97.49;68.22;15.632;38.782;95
05:12;100.56;66.12;15.852;38.726;96
05:18;94.21;70.60;14.372;38.097;108
05:24;93.92;70.82;10.950;8.176;102
05:30;91.79;72.46;11.550;9.932;104
05:36;90.32;73.62;11.384;9.848;108
05:42;92.06;72.33;11.060;9.708;127
05:48;97.99;67.91;8.398;5.799;143
05:54;94.34;70.54;9.560;6.962;143
06:00;93.18;71.39;11.111;8.398;136
06:06;92.64;71.82;9.228;7.374;125
06:12;93.50;71.15;8.434;6.883;175
06:18;92.11;72.23;6.022;4.872;311
06:24;91.01;73.06;6.408;5.053;321
06:30;89.10;74.63;6.338;5.446;396
06:36;88.59;75.18;5.317;4.842;402
06:42;85.35;77.91;4.020;3.859;482
06:48;82.35;80.81;9.217;32.902;556
06:54;78.98;84.21;9.328;52.173;591
07:00;74.97;88.70;9.618;101.566;609
07:06;69.80;95.28;8.782;49.669;666
07:12;65.38;101.81;10.689;86.097;713
07:18;59.99;110.81;11.403;111.583;655
07:24;55.61;119.62;12.991;120.097;636
07:30;55.95;118.89;11.838;112.614;604
07:36;51.96;128.02;11.954;117.519;660
07:42;50.11;132.74;13.660;103.387;704
07:48;51.35;129.61;14.521;90.696;672
07:54;51.65;128.87;15.611;86.086;645
08:00;53.08;125.40;13.718;60.209;674
08:06;51.73;128.62;15.722;69.881;662
08:12;51.46;129.23;15.375;72.111;686
08:18;51.69;128.74;14.927;70.650;716
08:24;51.05;130.33;15.713;66.155;744
08:30;52.88;125.76;14.439;65.213;746
08:36;50.87;130.81;15.241;56.051;747
08:42;52.55;126.68;13.961;60.491;838
08:48;48.88;136.06;16.524;65.400;851
08:54;49.88;133.37;16.778;105.369;825
09:00;53.67;124.01;16.028;172.110;863
09:06;55.27;120.44;15.196;168.614;941
09:12;55.15;120.63;16.793;154.610;1008
09:18;55.04;120.83;18.468;136.772;986
09:24;57.77;115.08;17.195;83.589;1048
09:30;58.70;113.23;18.569;72.587;1046
09:36;63.34;105.05;19.831;91.091;1023
09:42;67.36;98.71;19.418;119.269;1041
09:48;68.50;97.14;20.357;180.028;1006
09:54;71.15;93.46;19.616;189.220;910
10:00;72.50;91.82;20.238;166.921;887
10:06;73.98;89.87;20.561;191.085;871
10:12;74.27;89.57;19.583;155.336;873
10:18;75.79;87.79;17.368;120.594;874
10:24;79.20;84.02;13.867;121.147;870
10:30;80.00;83.14;13.154;129.903;859
10:36;80.28;82.86;12.892;88.348;863
10:42;81.14;82.04;11.061;30.218;858
10:48;81.99;81.12;8.876;14.719;749
10:54;81.86;81.34;7.922;13.371;782
11:00;82.08;80.96;8.113;13.502;759
11:06;82.63;80.55;8.159;13.237;791
11:12;82.41;80.72;6.968;9.713;729
11:18;82.86;80.37;5.802;7.552;752
11:24;83.80;79.39;5.635;7.816;732
11:30;84.20;79.00;3.672;3.454;753
11:36;83.78;79.34;4.055;3.800;782
11:42;84.31;78.94;3.333;3.232;753
11:48;83.69;79.47;4.181;4.091;722
11:54;85.08;78.12;3.321;3.073;738
12:00;85.49;77.74;3.768;3.684;778
12:06;85.27;78.06;4.128;3.859;748
12:12;83.81;79.41;4.926;5.764;723
12:18;84.15;79.06;5.327;6.829;704
12:24;84.14;79.11;9.289;35.189;664
12:30;83.50;79.67;9.973;48.224;648
12:36;84.31;78.85;8.525;26.765;671
12:42;84.07;79.08;7.366;13.722;606
12:48;84.05;79.14;9.068;31.296;620
12:54;85.28;77.90;8.943;20.639;596
13:00;85.52;77.77;6.158;7.411;639
13:06;85.29;78.00;5.404;6.705;618
13:12;83.86;79.33;5.512;6.753;634
13:18;83.65;79.61;5.669;6.568;703
13:24;84.15;79.03;3.388;3.199;727
13:30;84.02;79.16;3.591;3.462;805
13:36;84.10;79.09;2.998;2.856;812
13:42;83.60;79.59;3.177;3.123;840
13:48;83.48;79.65;3.669;3.605;819
13:54;83.95;79.33;3.122;2.916;819
14:00;84.19;79.02;3.258;3.146;768
14:06;84.39;78.81;3.567;3.386;781
14:12;84.35;78.88;3.780;3.795;799
14:18;84.79;78.42;3.157;3.025;747
14:24;83.50;79.71;3.886;3.819;713
14:30;84.48;78.76;3.770;3.682;777
14:36;83.68;79.47;3.661;3.543;789
14:42;84.52;78.73;3.352;3.151;733
14:48;83.97;79.19;3.842;3.870;790
14:54;84.32;78.87;3.378;3.282;769
15:00;84.31;78.92;2.953;2.756;732
15:06;83.89;79.28;3.974;3.954;730
15:12;83.46;79.69;3.135;3.115;688
15:18;83.38;79.76;4.210;4.441;711
15:24;83.27;79.88;4.227;4.358;712
15:30;81.54;81.56;7.111;15.788;724
15:36;82.31;80.83;7.674;19.901;669
15:42;81.75;81.34;8.398;29.839;693
15:48;81.27;81.85;8.336;34.480;685
15:54;80.33;82.73;8.042;24.602;682
16:00;79.77;83.41;9.126;25.760;642
16:06;79.75;83.37;7.950;18.169;691
16:12;79.08;84.08;8.418;29.621;664
16:18;77.68;85.63;8.986;29.119;678
16:24;77.01;86.34;6.215;8.668;658
16:30;75.88;87.68;8.428;22.530;652
16:36;75.68;87.86;8.652;21.124;720
16:42;75.37;88.33;9.634;21.581;710
16:48;73.29;90.78;11.228;27.589;679
16:54;72.09;92.29;11.531;31.752;667
17:00;69.34;95.90;12.521;31.032;676
17:06;69.22;96.12;12.217;31.567;634
17:12;70.17;94.85;12.390;33.326;628
17:18;68.69;96.83;14.376;41.946;571
17:24;69.11;96.26;11.932;32.750;528
17:30;67.70;98.25;13.692;41.345;638
17:36;66.60;99.90;15.154;48.953;625
17:42;67.92;97.95;12.972;27.340;589
17:48;67.13;99.14;11.856;24.915;594
17:54;67.25;98.94;14.586;45.152;579
18:00;66.73;99.60;15.158;46.595;601
18:06;67.70;98.27;15.815;64.627;633
18:12;67.28;98.85;16.166;53.299;627
18:18;68.05;97.84;15.547;62.492;656
18:24;69.13;96.27;14.260;48.339;574
18:30;68.47;97.16;15.893;78.904;609
18:36;69.18;96.22;16.932;88.206;573
18:42;70.03;94.96;15.056;74.393;645
18:48;70.82;93.83;14.868;73.900;618
18:54;71.98;92.39;14.157;55.119;651
19:00;73.03;91.11;14.464;49.987;616
19:06;74.29;89.48;14.397;43.115;685
19:12;75.51;88.08;11.864;32.815;638
19:18;75.45;88.09;12.157;32.236;673
19:24;76.80;86.66;12.077;42.547;639
19:30;76.73;86.72;13.145;30.488;581
19:36;78.76;84.53;10.502;17.347;603
19:42;80.57;82.58;8.969;18.839;582
19:48;80.78;82.23;7.745;14.643;563
19:54;83.28;79.89;9.544;31.116;543
20:00;84.70;78.58;6.181;6.787;508
20:06;85.57;77.80;6.139;6.962;509
20:12;86.66;76.77;5.858;6.684;412
20:18;85.44;77.88;5.926;6.970;449
20:24;85.47;77.83;6.115;6.325;388
20:30;88.31;75.31;7.108;6.668;332
20:36;89.70;74.21;5.316;4.387;354
20:42;88.38;75.27;5.449;4.845;306
20:48;89.42;74.43;10.596;17.990;297
20:54;89.09;74.61;10.959;36.848;252
21:00;88.53;75.13;11.874;40.394;258
21:06;88.53;75.14;14.296;36.082;216
21:12;82.47;80.65;16.920;35.579;224
21:18;83.20;79.94;19.829;45.859;216
21:24;83.07;80.09;21.505;78.965;204
21:30;82.07;81.02;22.300;120.064;196
21:36;82.99;80.18;20.769;101.763;187
21:42;82.13;80.94;21.608;143.069;191
21:48;83.41;79.73;22.185;127.887;173
21:54;82.57;80.60;22.194;117.963;145
22:00;81.41;81.66;22.914;149.014;146
22:06;80.65;82.41;22.543;190.795;145
22:12;82.44;80.67;21.991;160.462;142
22:18;82.56;80.54;20.534;153.640;140
22:24;84.23;79.00;19.990;88.896;154
22:30;84.99;78.35;20.132;123.906;137
22:36;82.96;80.24;18.324;131.147;137
22:42;82.63;80.45;16.083;118.742;137
22:48;84.07;79.07;18.480;100.460;138
22:54;84.55;78.64;18.291;75.562;137
23:00;83.50;79.59;18.781;99.974;128
23:06;82.91;80.25;18.860;87.981;127
23:12;83.51;79.65;18.112;68.859;129
23:18;84.61;78.70;18.119;98.783;142
23:24;87.32;76.20;15.416;67.822;129
23:30;86.23;77.16;15.741;50.824;117
23:36;86.58;76.83;17.111;42.137;117
23:42;87.22;76.25;16.962;41.731;131
23:48;88.25;75.31;18.012;47.152;100
23:54;88.68;75.05;17.904;38.982;110
