heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;76.70;124.76;20.159;143.056;49
00:06;77.50;124.00;0.000;0.000;2
00:12;70.14;136.58;26.721;365.336;19
00:18;78.90;121.37;16.171;160.762;62
00:24;80.08;119.68;12.317;72.862;81
00:30;79.43;120.55;11.565;54.670;92
00:36;80.61;118.81;11.523;47.289;95
00:42;80.86;118.43;10.864;17.827;84
00:48;80.72;118.63;8.451;14.394;77
00:54;82.03;116.75;11.480;17.035;79
01:00;82.52;116.00;11.322;13.918;64
01:06;82.45;116.13;9.309;12.465;71
01:12;81.54;117.47;8.541;11.357;70
01:18;80.88;118.42;6.850;9.496;69
01:24;82.15;116.58;9.088;11.923;63
01:30;82.43;116.21;9.379;12.319;63
01:36;81.77;117.17;9.382;12.294;61
01:42;81.81;117.09;7.933;11.392;59
01:48;82.34;116.38;7.413;10.605;56
01:54;82.09;116.76;7.446;10.479;50
02:00;82.22;116.52;8.287;11.139;48
02:06;83.07;115.28;8.742;11.323;51
02:12;84.33;113.54;10.037;12.759;52
02:18;81.71;117.22;10.008;13.423;51
02:24;83.50;114.72;11.754;15.010;48
02:30;84.66;113.13;14.143;17.083;46
02:36;82.39;116.18;11.181;14.555;50
02:42;84.29;113.64;10.211;13.307;63
02:48;85.93;111.42;10.577;13.971;63
02:54;86.19;111.12;12.298;16.899;57
03:00;81.10;118.10;9.522;14.007;70
03:06;80.96;118.27;12.164;46.940;80
03:12;80.67;118.65;12.040;47.305;76
03:18;80.20;119.31;11.948;47.600;79
03:24;78.68;121.63;10.967;47.762;72
03:30;81.16;117.96;7.982;10.924;68
03:36;82.93;115.45;8.872;11.963;65
03:42;82.75;115.77;8.992;12.220;48
03:48;83.23;115.14;8.340;11.836;43
03:54;82.17;116.66;7.650;11.170;42
04:00;83.95;114.09;10.330;14.288;48
04:06;83.11;115.15;9.741;13.025;45
04:12;80.84;118.40;8.338;12.188;48
04:18;81.44;117.54;8.607;12.639;58
04:24;82.20;116.51;8.459;11.737;67
04:30;84.40;113.44;9.636;12.476;69
04:36;86.14;111.18;8.714;11.206;105
04:42;83.70;114.48;7.788;9.863;128
04:48;83.65;114.57;8.488;11.087;127
04:54;81.98;116.83;6.209;8.991;121
05:00;81.64;117.39;7.006;10.296;113
05:06;90.58;105.73;12.393;15.288;103
05:12;95.40;100.37;11.567;13.713;100
05:18;91.41;104.75;11.885;14.315;104
05:24;86.80;110.31;12.045;15.346;104
05:30;87.21;109.81;10.846;13.032;104
05:36;84.92;112.84;8.883;11.010;103
05:42;84.97;112.72;8.183;10.482;106
05:48;85.90;111.55;7.971;10.063;118
05:54;85.72;111.76;9.024;11.081;132
06:00;84.88;112.82;11.447;14.393;130
06:06;85.89;111.42;10.771;13.407;129
06:12;85.29;112.36;9.964;13.656;151
06:18;87.04;110.03;6.149;8.055;298
06:24;83.13;115.26;6.237;9.055;290
06:30;81.69;117.21;5.173;7.420;354
06:36;79.84;119.90;5.040;8.103;410
06:42;78.84;121.44;3.813;5.927;431
06:48;77.97;122.85;5.409;8.708;558
06:54;75.56;126.73;5.613;7.569;616
07:00;71.94;133.14;4.164;8.488;656
07:06;67.68;141.52;5.442;12.660;697
07:12;61.88;154.78;7.832;21.050;762
07:18;57.38;166.85;8.962;25.212;714
07:24;55.65;172.07;8.852;24.971;646
07:30;53.68;178.33;9.539;30.282;635
07:36;52.11;183.76;10.209;32.753;656
07:42;51.80;184.90;9.708;36.283;706
07:48;51.97;184.28;10.979;46.772;729
07:54;54.40;176.11;11.079;43.442;694
08:00;53.30;179.64;10.666;51.766;711
08:06;52.46;182.59;11.188;53.258;695
08:12;53.73;178.28;13.012;58.252;699
08:18;54.01;177.37;13.454;63.513;747
