heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;72.62;52.67;11.426;7.970;49
00:06;65.90;58.00;0.000;0.000;1
00:12;68.22;55.97;7.736;7.470;8
00:18;69.46;55.03;10.047;10.389;45
00:24;70.55;54.24;10.795;6.639;73
00:30;68.20;56.10;7.770;6.768;81
00:36;69.88;54.74;6.536;5.069;92
00:42;70.72;54.03;8.246;6.100;84
00:48;70.99;53.84;7.984;6.615;77
00:54;71.01;53.88;8.547;6.495;71
01:00;71.84;53.28;10.757;7.598;70
01:06;72.35;52.90;10.210;7.268;77
01:12;71.79;53.24;9.546;6.426;74
01:18;70.15;54.51;9.424;6.820;69
01:24;71.57;53.47;10.623;6.781;67
01:30;72.45;52.83;11.905;6.971;64
01:36;70.41;54.34;11.434;9.560;61
01:42;68.85;55.53;9.966;9.270;64
01:48;69.37;55.12;10.741;9.803;58
01:54;69.12;55.31;9.757;9.687;53
02:00;70.62;54.20;11.853;10.776;46
02:06;70.60;54.22;11.057;10.147;46
02:12;70.78;54.08;9.825;6.971;45
02:18;71.63;53.46;11.075;7.617;45
02:24;70.09;54.69;10.190;6.975;42
02:30;69.92;54.75;10.084;6.851;45
02:36;69.06;55.40;8.249;6.012;44
02:42;70.94;53.94;11.154;7.125;47
02:48;72.72;52.54;11.541;7.363;53
02:54;72.39;52.81;11.510;7.983;50
03:00;70.47;54.24;11.868;8.247;54
03:06;71.76;53.26;11.312;7.527;56
03:12;73.03;52.40;11.639;7.419;52
03:18;72.92;52.44;11.602;7.188;49
03:24;73.53;51.96;11.323;6.892;40
03:30;75.42;50.70;12.220;6.800;40
03:36;75.12;50.98;10.018;5.522;48
03:42;75.90;50.41;12.048;8.813;40
03:48;74.69;51.24;12.776;9.501;37
03:54;74.14;51.60;7.246;5.121;39
04:00;73.28;52.23;8.474;6.237;40
04:06;71.61;53.41;9.610;7.223;38
04:12;71.26;53.76;8.295;6.081;43
04:18;72.81;52.62;9.362;6.648;51
04:24;72.69;52.71;8.479;5.772;65
04:30;74.18;51.60;9.192;6.049;65
04:36;73.49;52.05;9.473;8.201;76
04:42;74.49;51.41;8.232;5.403;92
04:48;77.01;49.70;8.127;5.229;96
04:54;77.26;49.49;8.139;5.191;94
05:00;77.94;49.09;7.834;5.065;102
05:06;79.30;48.23;10.465;8.638;108
05:12;83.07;46.00;9.072;7.043;99
05:18;83.74;45.64;12.494;9.086;114
05:24;79.78;47.89;11.493;8.632;115
05:30;78.86;48.50;10.726;6.153;112
05:36;76.80;49.80;8.320;5.217;115
05:42;76.03;50.30;8.466;5.378;112
05:48;77.18;49.58;8.464;5.754;116
05:54;76.92;49.74;8.821;5.852;128
06:00;77.02;49.69;9.414;5.472;126
06:06;77.44;49.42;9.314;5.609;130
06:12;76.57;50.03;12.104;6.049;149
06:18;77.18;49.59;7.332;4.854;243
06:24;71.84;53.25;6.285;4.530;257
06:30;71.34;53.67;6.598;4.488;287
06:36;70.04;54.62;7.774;5.665;289
06:42;69.98;54.65;5.749;4.567;318
06:48;70.09;54.55;4.569;3.624;399
06:54;68.47;55.94;8.074;6.201;432
07:00;65.27;58.58;6.382;6.632;450
07:06;63.28;60.42;8.808;9.723;484
07:12;62.38;61.31;8.472;9.348;533
07:18;61.68;62.03;7.948;8.566;543
07:24;60.53;63.23;8.431;9.806;479
07:30;59.95;63.89;7.210;8.881;466
07:36;61.44;62.23;7.008;8.948;445
07:42;60.73;62.98;8.503;15.276;474
07:48;59.94;63.86;9.073;15.577;508
07:54;59.51;64.29;11.928;20.580;509
08:00;59.00;64.85;10.586;20.795;517
08:06;58.10;65.85;12.356;31.473;524
08:12;57.81;66.13;13.542;30.562;543
08:18;58.91;64.90;13.033;29.299;546
08:24;58.84;65.08;13.220;40.480;587
08:30;60.66;63.09;13.051;54.112;609
08:36;61.39;62.29;11.131;23.302;590
08:42;61.80;61.93;10.649;30.421;617
08:48;61.82;61.92;9.526;23.985;656
08:54;62.56;61.16;9.756;19.848;676
09:00;61.59;62.14;10.733;19.620;690
09:06;60.90;62.81;11.128;32.428;690
09:12;61.80;61.88;10.972;32.418;772
09:18;60.75;63.03;10.826;36.272;788
09:24;60.14;63.58;11.516;36.862;781
09:30;60.76;63.04;12.224;35.674;883
09:36;60.43;63.38;12.233;36.360;858
09:42;61.43;62.35;11.995;44.479;873
09:48;61.61;62.10;12.478;39.829;898
09:54;61.86;61.90;11.658;31.917;830
10:00;64.15;59.56;10.120;19.327;777
10:06;64.64;59.17;10.517;20.017;750
10:12;65.33;58.58;9.013;14.484;760
10:18;64.68;59.14;7.651;9.687;795
10:24;66.90;57.13;7.020;8.867;806
10:30;66.05;57.87;8.391;14.776;777
10:36;67.19;56.92;7.921;9.310;726
10:42;67.43;56.66;7.005;7.277;765
10:48;67.22;56.96;6.835;7.623;731
10:54;67.21;56.92;5.921;7.244;719
11:00;67.62;56.54;5.588;5.379;728
11:06;67.64;56.53;5.242;5.147;719
11:12;67.42;56.69;5.846;5.495;703
11:18;68.28;55.98;4.944;4.510;688
11:24;68.40;55.89;5.095;4.470;657
11:30;67.81;56.39;5.413;5.267;660
11:36;69.59;55.01;3.969;3.146;737
11:42;69.12;55.36;4.829;4.052;730
11:48;68.70;55.72;3.393;2.729;668
11:54;69.13;55.41;4.966;4.440;711
12:00;70.80;54.08;3.488;2.647;690
12:06;69.78;54.81;4.381;3.455;702
12:12;69.57;55.08;4.257;3.414;662
12:18;69.32;55.17;4.118;3.337;665
12:24;69.74;54.86;4.426;3.404;640
12:30;69.68;54.94;4.922;3.944;604
12:36;69.92;54.70;4.521;3.456;616
12:42;69.63;54.95;5.277;3.946;567
12:48;70.67;54.21;4.313;3.230;558
12:54;70.40;54.32;4.234;3.500;540
13:00;71.02;53.89;4.547;3.643;574
13:06;70.90;53.96;4.481;3.420;596
13:12;69.49;54.99;3.351;2.591;586
13:18;68.96;55.43;5.239;4.577;603
13:24;69.25;55.17;4.728;3.851;673
13:30;67.70;56.53;5.041;4.355;676
13:36;68.89;55.49;4.845;4.014;732
13:42;67.49;56.71;6.004;7.879;762
13:48;67.46;56.72;7.367;19.234;742
13:54;66.60;57.44;8.434;37.641;748
14:00;67.19;56.90;8.721;34.477;710
14:06;67.69;56.53;8.722;34.473;675
14:12;67.42;56.76;8.137;28.923;711
14:18;67.37;56.83;8.324;31.485;736
14:24;67.90;56.23;7.916;19.337;663
14:30;67.85;56.37;8.722;25.614;678
14:36;68.30;56.02;8.442;28.548;709
14:42;68.56;55.82;8.302;24.369;689
14:48;69.21;55.27;7.407;15.645;652
14:54;68.97;55.51;4.911;4.996;725
15:00;68.79;55.64;4.952;4.372;686
15:06;69.40;55.07;5.723;4.402;681
15:12;69.13;55.34;4.299;3.439;643
