heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;92.73;38.95;11.301;4.757;35
00:06;76.75;47.25;9.750;6.000;3
00:12;88.24;41.06;16.336;9.067;10
00:18;91.41;39.49;12.216;5.250;30
00:24;92.51;39.08;11.086;4.520;42
00:30;91.09;39.67;15.946;15.860;50
00:36;91.57;39.47;15.967;15.077;59
00:42;92.26;39.17;15.363;14.760;62
00:48;90.48;39.94;14.942;14.584;62
00:54;90.75;39.84;15.668;15.123;61
01:00;89.62;40.37;15.473;15.349;58
01:06;89.81;40.25;15.598;21.445;51
01:12;92.34;39.19;12.625;6.211;45
01:18;92.43;39.10;12.875;6.521;45
01:24;91.45;39.51;13.422;7.153;42
01:30;92.33;39.08;19.308;10.114;47
01:36;90.65;39.78;16.466;8.393;46
01:42;91.58;39.35;15.760;8.279;45
01:48;92.28;39.08;13.401;6.706;41
01:54;91.10;39.54;13.939;7.224;42
02:00;91.06;39.59;13.327;6.564;41
02:06;92.97;38.85;14.003;6.384;39
02:12;94.07;38.33;14.358;6.574;41
02:18;93.05;38.82;14.233;6.489;40
02:24;95.41;37.87;17.540;7.306;40
02:30;100.31;36.07;17.580;6.436;35
02:36;100.56;36.01;16.528;6.025;31
02:42;97.05;37.37;17.576;6.545;27
02:48;93.58;38.74;17.012;6.673;29
02:54;91.82;39.43;18.460;7.452;26
03:00;85.56;42.22;12.715;5.844;21
03:06;89.35;40.44;14.189;6.478;29
03:12;89.60;40.32;11.193;5.185;38
03:18;90.24;40.00;11.484;5.331;46
03:24;91.84;39.34;11.167;4.898;47
03:30;93.57;38.60;10.524;4.204;49
03:36;94.21;38.34;9.720;3.786;47
03:42;94.20;38.35;10.222;3.972;50
03:48;96.16;37.58;15.051;6.134;48
03:54;94.86;38.11;17.621;8.321;48
04:00;94.96;38.08;17.030;7.964;46
04:06;92.42;39.14;17.642;8.338;47
04:12;92.48;39.07;15.689;6.646;53
04:18;97.27;37.11;15.699;6.672;60
04:24;95.38;37.83;13.126;5.479;56
04:30;92.82;38.94;11.993;5.374;61
04:36;93.49;38.59;12.292;5.288;65
04:42;93.54;38.67;11.447;5.047;71
04:48;95.60;37.88;11.988;4.966;79
04:54;95.88;37.76;13.204;5.637;93
05:00;94.48;38.29;12.428;5.371;103
05:06;93.34;38.76;15.430;6.533;96
05:12;94.41;38.21;14.700;5.919;108
05:18;90.44;39.92;14.695;7.657;115
05:24;94.09;38.40;14.472;6.674;122
05:30;92.46;39.12;13.497;6.832;136
05:36;93.34;38.69;14.535;7.160;128
05:42;91.90;39.31;13.585;7.832;134
05:48;94.62;38.23;14.392;7.669;129
05:54;95.63;37.73;11.820;6.468;127
06:00;97.30;37.16;12.400;5.472;141
06:06;96.38;37.46;10.662;4.388;156
06:12;93.36;38.70;10.984;4.637;167
06:18;92.18;39.20;9.425;4.140;174
06:24;92.72;39.01;11.447;8.111;181
06:30;92.57;39.08;9.878;4.602;219
06:36;88.74;40.74;10.071;6.246;250
06:42;85.68;42.19;12.354;16.462;290
06:48;84.42;42.81;13.649;26.554;264
06:54;82.48;43.88;13.568;25.087;248
07:00;79.60;45.41;14.821;38.116;283
07:06;78.72;45.87;15.276;26.952;316
07:12;75.21;48.04;14.183;33.534;298
07:18;76.99;46.91;13.724;31.620;301
07:24;78.90;45.84;12.549;31.936;284
07:30;77.42;46.77;12.416;29.021;280
07:36;81.06;44.58;11.179;12.514;261
07:42;80.05;45.19;10.634;11.131;266
07:48;81.29;44.43;10.481;8.456;253
07:54;79.61;45.43;13.481;19.290;256
08:00;83.09;43.56;12.289;18.531;281
08:06;83.75;43.23;10.848;18.629;256
08:12;83.07;43.48;11.258;15.952;292
08:18;83.91;43.13;10.508;10.769;301
08:24;85.28;42.36;10.081;5.545;290
08:30;86.45;41.78;9.077;4.711;281
08:36;84.86;42.53;9.387;5.705;274
08:42;84.93;42.59;8.333;4.575;360
08:48;84.97;42.55;11.235;9.951;310
08:54;83.76;43.16;12.308;10.096;313
09:00;83.48;43.21;11.405;7.622;267
09:06;86.90;41.57;9.540;4.540;295
09:12;89.13;40.56;9.158;4.337;315
09:18;88.49;40.85;9.355;4.697;295
09:24;86.55;41.77;9.801;6.010;328
09:30;87.82;41.22;7.482;3.714;322
09:36;85.84;42.07;10.624;5.705;311
09:42;87.60;41.28;7.919;3.973;315
09:48;87.35;41.36;6.875;3.456;318
09:54;89.86;40.21;6.855;3.161;315
10:00;87.85;41.19;7.876;3.762;305
10:06;88.76;40.79;7.403;3.649;281
10:12;89.84;40.22;7.731;3.444;273
10:18;87.23;41.43;10.095;4.948;311
10:24;87.07;41.46;9.571;4.784;300
10:30;87.82;41.19;8.842;5.323;280
10:36;88.98;40.72;9.825;5.194;290
10:42;87.80;41.10;8.575;4.475;264
10:48;89.00;40.54;7.855;3.670;302
10:54;88.07;41.06;7.804;3.850;311
11:00;87.34;41.42;8.603;4.612;318
11:06;88.55;40.73;9.755;4.253;280
11:12;87.65;41.24;7.687;3.863;294
11:18;90.50;39.87;7.385;3.301;308
11:24;88.67;40.72;7.221;3.427;298
11:30;87.73;41.13;9.089;4.994;313
11:36;87.46;41.33;8.364;4.174;350
11:42;88.83;40.65;8.627;4.024;325
11:48;87.76;41.17;8.308;4.067;304
11:54;88.03;41.03;10.336;6.382;308
12:00;89.16;40.53;6.898;3.441;342
12:06;88.38;40.86;9.188;5.296;331
12:12;91.26;39.58;6.431;2.952;344
12:18;88.15;40.95;7.228;3.457;324
12:24;90.11;40.16;9.313;5.217;283
12:30;91.48;39.49;8.765;4.279;250
12:36;88.20;41.00;8.017;3.964;311
12:42;89.56;40.40;8.827;4.372;284
12:48;89.67;40.30;9.866;4.801;285
12:54;90.42;40.02;9.165;4.832;302
13:00;89.46;40.39;9.218;4.750;280
13:06;90.40;39.99;7.278;3.388;276
13:12;88.14;41.01;9.011;4.792;239
13:18;91.50;39.52;8.514;3.927;263
13:24;90.50;39.97;9.406;4.001;255
13:30;90.43;39.96;8.775;4.048;212
13:36;88.49;40.86;9.580;4.917;255
13:42;90.18;40.15;9.203;4.368;245
13:48;87.87;41.15;9.052;5.161;264
13:54;88.12;41.05;10.175;5.992;244
14:00;88.42;40.88;11.444;8.887;268
14:06;89.11;40.61;7.994;3.846;308
14:12;88.86;40.66;7.571;3.825;288
14:18;88.31;40.89;5.919;2.944;300
14:24;87.56;41.25;7.380;3.697;304
14:30;88.98;40.61;8.526;3.970;315
14:36;86.18;41.92;7.818;4.546;299
14:42;87.85;41.09;7.783;3.744;300
14:48;87.33;41.37;9.311;5.714;315
14:54;86.29;41.88;10.705;22.042;327
15:00;84.62;42.72;10.531;15.941;335
15:06;88.54;40.74;11.928;22.152;341
15:12;86.86;41.63;9.242;8.408;320
15:18;85.55;42.23;8.839;5.152;319
15:24;87.16;41.40;8.138;4.602;340
15:30;87.19;41.43;5.994;2.897;363
15:36;86.54;41.71;7.707;4.814;349
15:42;86.90;41.63;7.923;4.490;332
15:48;86.08;41.98;8.599;4.335;351
15:54;85.37;42.31;7.271;3.652;388
16:00;84.83;42.67;9.690;6.368;361
16:06;85.17;42.50;10.001;9.074;357
16:12;83.40;43.35;10.746;10.443;335
16:18;84.36;42.82;9.814;8.705;302
16:24;82.88;43.58;9.823;8.773;280
16:30;82.96;43.58;9.258;8.350;308
16:36;81.35;44.40;9.493;7.377;314
16:42;81.66;44.23;8.926;5.882;329
16:48;82.55;43.79;6.659;4.399;283
16:54;81.52;44.25;6.810;4.067;300
17:00;82.50;43.80;6.946;4.164;298
17:06;81.11;44.54;9.877;6.994;295
17:12;83.62;43.25;7.077;3.813;297
17:18;82.48;43.87;9.934;5.155;275
17:24;83.44;43.35;12.066;5.973;286
17:30;83.03;43.59;11.689;5.938;290
17:36;81.66;44.26;7.602;4.699;335
17:42;82.88;43.65;6.543;3.774;327
17:48;82.02;44.08;9.144;5.644;318
17:54;83.49;43.30;7.666;3.947;334
18:00;82.98;43.53;8.197;4.443;275
18:06;84.79;42.61;6.987;3.582;300
18:12;84.31;42.87;9.111;5.195;280
18:18;83.34;43.41;9.901;6.089;308
18:24;84.00;43.04;12.513;13.736;284
18:30;83.13;43.45;12.084;13.741;227
18:36;84.49;42.79;13.233;34.620;224
18:42;85.23;42.37;12.725;18.013;260
18:48;84.28;42.78;10.596;9.231;256
18:54;85.62;42.26;12.378;6.948;245
19:00;85.47;42.29;9.751;5.274;218
19:06;88.30;40.97;13.747;9.563;219
19:12;88.36;40.90;11.330;8.267;199
19:18;89.90;40.24;11.048;5.942;189
19:24;91.94;39.26;10.769;5.451;177
19:30;88.05;41.07;10.588;5.284;212
19:36;88.36;40.89;9.770;5.872;205
19:42;88.39;40.86;11.874;6.841;183
19:48;90.81;39.83;11.099;5.518;184
19:54;91.35;39.50;12.671;5.578;159
20:00;90.89;39.76;13.184;6.975;162
20:06;88.49;40.87;12.152;8.508;156
20:12;90.27;40.00;12.079;6.528;154
20:18;93.89;38.48;11.725;4.721;133
20:24;93.21;38.81;9.995;4.242;137
20:30;93.30;38.67;9.918;4.417;126
20:36;91.41;39.53;13.216;7.638;139
20:42;92.44;39.09;12.159;5.317;128
20:48;97.35;37.12;14.399;5.894;128
20:54;95.91;37.70;13.041;5.538;130
21:00;94.99;38.08;13.868;6.194;124
21:06;95.77;37.74;13.275;5.639;119
21:12;95.62;37.72;14.755;6.030;117
21:18;96.01;37.58;14.677;6.116;107
21:24;97.06;37.12;16.255;8.187;114
21:30;98.83;36.52;15.359;6.485;106
21:36;94.57;38.24;13.694;6.222;101
21:42;92.38;39.10;17.836;8.073;99
21:48;95.60;37.84;17.292;7.145;109
21:54;92.73;38.98;15.863;7.031;98
22:00;94.76;38.14;14.632;6.168;96
22:06;93.05;38.87;15.286;7.101;78
22:12;90.52;39.98;14.268;8.150;84
22:18;90.36;40.04;15.357;9.588;92
22:24;92.50;39.06;14.481;7.438;99
22:30;92.99;38.86;13.824;5.867;102
22:36;90.23;40.03;14.043;7.288;108
22:42;89.20;40.50;13.162;6.676;111
22:48;91.68;39.39;14.777;6.954;117
