heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;90.74;26.27;13.556;4.112;42
00:06;94.75;25.49;1.550;0.500;3
00:12;92.92;25.62;14.519;4.794;14
00:18;90.50;26.32;16.198;6.344;48
00:24;91.20;26.18;13.040;4.151;65
00:30;94.23;25.33;14.299;4.314;74
00:36;96.32;24.77;14.970;4.124;74
00:42;98.29;24.23;14.195;3.952;82
00:48;98.83;24.10;14.472;3.777;81
00:54;98.81;24.12;13.220;3.421;85
01:00;96.86;24.59;14.254;3.843;82
01:06;97.90;24.38;13.295;3.595;74
01:12;96.90;24.63;13.237;3.615;68
01:18;97.19;24.54;12.917;3.446;68
01:24;97.57;24.42;11.089;2.876;59
01:30;97.71;24.38;14.915;5.700;60
01:36;98.88;24.10;12.795;3.260;55
01:42;98.39;24.19;12.145;3.193;58
01:48;99.06;24.02;12.115;3.252;54
01:54;97.59;24.35;15.506;4.836;53
02:00;96.48;24.70;15.641;4.798;50
02:06;95.18;24.98;16.606;5.425;45
02:12;95.29;24.96;17.390;8.189;46
02:18;98.69;24.12;13.525;3.421;45
02:24;98.71;24.10;15.875;3.896;46
02:30;101.11;23.50;15.922;3.844;46
02:36;101.57;23.42;16.022;4.098;40
02:42;99.09;24.01;16.209;4.513;42
02:48;97.71;24.45;17.379;5.407;46
02:54;96.79;24.67;18.181;4.929;42
03:00;94.88;25.18;15.503;4.454;43
03:06;97.00;24.65;14.073;4.061;49
03:12;98.18;24.30;14.362;3.955;53
03:18;97.82;24.35;14.347;3.974;56
03:24;96.75;24.62;13.149;3.551;56
03:30;95.51;25.01;13.383;4.271;60
03:36;93.59;25.50;14.898;6.521;63
03:42;94.50;25.25;14.620;6.471;63
03:48;96.05;24.80;18.207;7.482;60
03:54;92.88;25.67;18.705;8.209;63
04:00;94.46;25.22;18.429;14.943;63
04:06;96.59;24.64;19.322;14.926;65
04:12;98.77;24.15;14.020;3.570;71
04:18;100.65;23.67;14.427;3.739;75
04:24;97.81;24.37;13.725;3.616;74
04:30;98.95;24.07;12.995;3.343;80
04:36;98.70;24.16;13.930;3.948;90
04:42;97.23;24.53;11.797;3.153;95
04:48;97.81;24.43;12.574;3.540;105
04:54;100.27;23.80;11.567;3.002;112
05:00;98.58;24.15;11.857;3.068;123
05:06;99.90;23.80;12.225;2.969;114
05:12;100.26;23.73;11.513;2.885;124
05:18;98.20;24.26;12.307;2.996;146
05:24;98.20;24.32;10.359;2.754;137
05:30;97.81;24.41;12.006;3.086;162
