heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;115.22;8.82;15.114;1.333;40
00:06;111.10;9.00;0.400;0.000;2
00:12;117.37;8.52;14.167;1.155;10
00:18;114.84;8.84;14.741;1.183;25
00:24;110.87;9.18;17.043;1.936;43
00:30;110.84;9.25;16.512;1.775;48
00:36;113.30;9.05;16.186;1.772;51
00:42;114.49;8.95;16.571;1.784;52
00:48;113.33;9.03;17.186;1.863;54
00:54;112.41;9.07;16.460;1.801;52
01:00;115.48;8.85;14.660;1.187;52
01:06;113.80;8.97;13.577;1.193;46
01:12;113.09;9.00;13.955;1.224;50
01:18;110.28;9.21;13.735;1.253;48
01:24;109.19;9.33;14.217;1.252;50
01:30;110.49;9.22;13.027;1.150;49
01:36;111.10;9.18;13.155;1.149;44
01:42;112.35;9.04;12.969;1.080;47
01:48;112.06;9.06;15.353;1.409;44
01:54;114.75;8.91;16.344;1.391;41
02:00;114.22;8.99;14.004;1.263;40
02:06;115.49;8.89;15.117;1.308;40
02:12;112.59;9.16;16.162;1.399;41
02:18;113.25;9.09;15.440;1.227;39
02:24;113.07;9.19;15.943;1.294;41
02:30;109.92;9.44;15.895;1.333;39
02:36;114.46;9.10;17.597;1.430;37
02:42;114.05;9.12;17.354;1.428;35
02:48;116.18;8.94;16.621;1.314;33
02:54;116.45;8.91;17.450;1.450;38
03:00;116.99;8.80;19.383;1.598;41
03:06;117.27;8.78;19.303;1.622;45
03:12;115.40;8.86;19.753;1.752;44
03:18;111.17;9.20;19.884;1.761;43
03:24;107.82;9.50;18.311;1.620;42
03:30;110.33;9.27;17.583;1.500;36
03:36;109.10;9.40;17.664;1.654;31
03:42;108.79;9.46;17.341;1.600;28
03:48;107.99;9.54;16.409;1.479;29
03:54;111.12;9.30;16.112;1.474;28
04:00;115.04;8.90;20.027;1.769;30
04:06;112.64;9.11;19.296;1.687;38
04:12;115.98;8.83;16.213;1.359;40
04:18;116.64;8.83;15.491;1.257;45
04:24;119.09;8.60;16.512;1.464;49
04:30;113.60;9.03;18.711;2.014;52
04:36;111.54;9.22;17.037;1.893;55
04:42;114.96;8.91;15.444;1.744;57
04:48;112.52;9.05;15.871;1.686;60
04:54;113.70;8.98;15.007;1.611;66
05:00;113.06;9.01;16.681;1.771;65
05:06;111.70;9.17;14.522;1.331;74
05:12;112.11;9.09;12.718;1.122;90
05:18;111.79;9.12;12.620;1.121;101
05:24;112.14;9.11;11.228;1.038;100
05:30;113.46;9.01;12.311;1.085;109
05:36;111.73;9.18;10.212;0.994;116
05:42;110.94;9.23;11.219;1.015;129
05:48;114.14;8.92;11.467;0.942;133
05:54;116.91;8.77;9.807;0.751;135
06:00;117.57;8.66;10.871;0.897;136
06:06;113.61;8.99;11.495;1.058;153
06:12;113.40;9.08;9.964;0.954;164
06:18;115.53;8.90;7.373;0.658;175
06:24;117.31;8.70;7.867;0.620;200
06:30;115.38;8.86;8.688;0.615;178
06:36;110.76;9.22;10.329;1.059;204
06:42;109.82;9.39;9.657;0.979;213
06:48;108.24;9.45;8.076;0.798;248
06:54;105.01;9.77;7.487;0.807;283
07:00;100.32;10.23;7.493;0.872;301
07:06;102.49;10.02;8.806;0.856;349
07:12;99.57;10.39;7.520;0.797;346
07:18;98.11;10.38;9.286;1.059;363
07:24;96.24;10.56;7.752;0.935;390
07:30;95.27;10.77;5.422;0.644;425
07:36;95.53;10.72;6.783;0.750;376
07:42;94.01;10.91;6.508;0.822;376
07:48;93.62;10.92;7.270;1.000;359
07:54;92.55;11.10;8.699;1.275;351
08:00;96.81;10.60;8.470;1.009;366
08:06;97.44;10.50;7.694;0.993;377
08:12;98.38;10.41;8.233;0.857;380
08:18;97.91;10.41;6.840;0.756;376
08:24;96.18;10.68;10.952;2.724;440
08:30;97.74;10.50;9.091;1.183;382
08:36;96.84;10.60;7.463;0.947;386
08:42;99.37;10.24;7.200;0.749;366
08:48;99.25;10.35;7.238;0.772;386
08:54;97.99;10.46;8.523;0.962;378
09:00;97.79;10.47;8.591;1.010;397
09:06;97.90;10.44;6.624;0.778;394
09:12;100.11;10.23;5.872;0.652;446
09:18;97.81;10.45;9.045;1.278;399
09:24;98.58;10.37;7.176;0.854;408
09:30;98.90;10.35;9.209;1.160;435
09:36;100.53;10.22;8.034;0.869;429
09:42;100.85;10.25;7.665;0.795;418
09:48;104.03;9.85;7.705;0.848;381
09:54;101.30;10.19;8.536;0.901;354
10:00;101.82;10.09;10.202;1.250;390
10:06;102.43;9.94;9.281;1.156;355
10:12;103.87;9.81;8.781;0.995;353
10:18;104.72;9.75;7.243;0.780;363
10:24;106.02;9.67;9.536;0.979;336
10:30;105.76;9.70;8.592;0.888;345
10:36;105.22;9.72;9.191;0.965;350
10:42;107.62;9.55;7.244;0.769;372
10:48;108.10;9.50;7.366;0.775;367
10:54;107.39;9.56;7.384;0.748;369
11:00;108.03;9.48;6.944;0.756;374
11:06;107.41;9.55;9.825;0.935;375
11:12;107.10;9.56;7.966;0.748;343
11:18;108.30;9.46;8.624;0.818;376
11:24;107.57;9.48;8.580;0.855;362
11:30;107.99;9.49;9.064;0.873;395
11:36;106.06;9.69;9.753;1.162;426
11:42;106.32;9.63;7.781;0.854;428
11:48;107.46;9.57;7.594;0.746;439
11:54;107.42;9.57;8.234;0.844;395
12:00;108.37;9.41;7.317;0.712;414
12:06;107.83;9.49;8.182;0.909;421
12:12;110.60;9.21;6.364;0.559;389
12:18;108.31;9.36;6.078;0.634;410
12:24;108.94;9.41;6.993;0.688;381
12:30;109.66;9.32;7.178;0.724;373
12:36;109.10;9.37;6.500;0.661;346
12:42;110.78;9.27;8.320;0.713;352
12:48;111.61;9.14;7.972;0.737;354
12:54;109.70;9.36;7.916;0.659;331
13:00;110.99;9.26;7.539;0.686;337
13:06;110.55;9.29;6.626;0.590;345
13:12;110.15;9.38;6.461;0.610;346
13:18;109.52;9.29;7.005;0.671;366
13:24;109.68;9.27;7.557;0.713;330
13:30;108.82;9.36;5.956;0.634;337
13:36;108.21;9.42;6.826;0.665;333
13:42;109.63;9.35;8.198;0.729;323
13:48;108.35;9.46;7.071;0.757;342
13:54;107.33;9.50;8.373;0.925;385
14:00;105.11;9.74;7.486;0.820;426
14:06;106.73;9.62;7.905;0.736;401
14:12;105.00;9.73;9.244;1.008;411
14:18;104.15;9.82;9.265;1.148;426
14:24;105.84;9.63;7.107;0.774;442
14:30;105.48;9.66;7.133;0.807;476
14:36;105.37;9.68;7.374;0.739;454
14:42;107.12;9.60;5.653;0.650;442
14:48;104.72;9.81;8.401;1.058;501
14:54;105.67;9.73;8.566;0.930;466
15:00;104.38;9.78;8.527;1.085;465
15:06;104.32;9.78;9.127;1.246;518
15:12;105.32;9.63;7.023;0.774;538
15:18;104.95;9.78;6.941;0.807;475
15:24;103.64;9.84;7.692;0.837;505
15:30;104.68;9.76;7.020;0.794;501
15:36;104.08;9.81;7.598;0.952;484
15:42;102.57;10.00;6.545;0.682;514
15:48;102.46;10.00;6.806;0.728;492
15:54;100.72;10.24;6.746;0.727;531
16:00;100.65;10.20;6.903;0.761;535
16:06;101.85;10.06;7.348;0.832;536
16:12;101.61;10.04;8.771;1.045;505
16:18;100.46;10.22;6.638;0.786;564
16:24;100.40;10.20;6.471;0.761;551
16:30;100.58;10.22;5.779;0.646;566
16:36;101.48;10.10;8.968;1.237;547
16:42;99.99;10.29;7.761;0.863;521
16:48;98.37;10.39;8.234;1.012;579
16:54;98.85;10.38;7.509;0.859;535
17:00;99.00;10.36;9.819;1.433;533
17:06;99.58;10.31;11.459;1.843;515
17:12;96.55;10.65;13.913;5.180;530
17:18;94.52;10.85;17.280;5.368;531
17:24;94.65;10.81;17.114;7.369;574
17:30;92.97;11.04;17.394;5.756;559
17:36;92.65;11.04;19.392;5.132;510
17:42;91.98;11.11;17.861;3.943;522
17:48;92.30;11.10;18.729;9.430;483
17:54;92.95;11.03;15.683;2.798;475
18:00;90.89;11.29;22.910;11.200;477
18:06;93.25;10.95;20.633;8.385;479
18:12;94.87;10.85;20.142;8.679;461
18:18;97.26;10.57;21.012;12.522;452
18:24;94.39;10.86;24.664;13.374;480
18:30;98.20;10.46;20.457;8.243;479
18:36;98.45;10.44;24.321;9.318;401
18:42;98.89;10.30;26.358;14.600;431
18:48;100.74;10.16;21.932;12.319;422
18:54;102.05;9.99;17.540;6.437;397
19:00;106.58;9.57;12.837;1.788;404
19:06;108.33;9.42;10.209;1.304;350
19:12;109.72;9.28;8.274;0.739;337
19:18;110.77;9.27;7.370;0.690;349
19:24;111.43;9.16;6.696;0.591;296
19:30;112.05;9.14;6.894;0.583;284
19:36;110.36;9.24;7.581;0.681;281
19:42;111.95;9.14;8.049;0.737;258
19:48;110.31;9.27;9.501;0.900;241
19:54;112.23;9.12;8.506;0.730;208
20:00;112.69;9.05;8.206;0.743;214
20:06;113.08;9.03;9.216;0.918;214
20:12;115.69;8.82;9.730;0.893;209
20:18;116.59;8.78;8.166;0.610;160
20:24;115.57;8.85;10.771;0.965;159
20:30;114.24;9.00;12.556;1.184;145
20:36;113.66;9.04;11.614;1.045;130
20:42;114.44;9.00;14.273;1.683;120
20:48;113.83;9.07;12.158;1.055;120
20:54;114.11;8.96;11.237;0.998;132
21:00;115.86;8.83;11.686;0.998;138
21:06;115.07;8.87;11.276;0.933;129
21:12;115.32;8.86;13.418;1.107;125
21:18;116.55;8.77;13.055;1.067;105
21:24;115.32;8.92;14.425;1.284;104
21:30;116.45;8.72;13.207;1.162;118
21:36;114.22;8.91;12.170;1.159;108
21:42;111.36;9.19;11.518;1.144;101
21:48;114.32;8.96;12.307;1.126;101
21:54;113.78;8.96;10.959;1.014;97
22:00;113.08;8.99;11.621;0.995;101
22:06;113.05;9.00;13.353;1.298;105
22:12;114.27;8.95;13.307;1.111;105
22:18;115.42;8.88;12.909;1.047;102
22:24;116.48;8.79;11.658;0.918;103
22:30;116.01;8.89;13.096;1.070;93
22:36;114.95;8.89;11.862;0.984;90
22:42;116.26;8.81;14.053;1.156;109
22:48;113.22;9.00;12.465;1.123;110
22:54;113.97;8.95;10.944;0.948;102
23:00;111.22;9.21;13.122;1.229;115
23:06;111.21;9.19;15.325;1.582;109
23:12;113.28;9.05;13.998;1.233;106
23:18;114.63;8.94;14.401;1.284;103
23:24;113.07;9.11;17.214;4.182;91
23:30;115.09;8.91;15.951;4.141;102
23:36;114.92;8.93;11.577;0.999;99
23:42;112.79;9.09;11.562;0.982;87
23:48;114.67;8.89;13.331;1.159;100
23:54;113.98;8.98;14.563;1.329;98
