heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;94.78;47.28;14.559;12.699;34
00:06;105.00;42.68;12.268;5.312;3
00:12;100.34;44.78;16.192;7.179;16
00:18;100.45;44.76;17.401;8.045;33
00:24;98.21;45.71;16.471;7.815;46
00:30;99.23;45.20;15.884;7.803;52
00:36;98.04;45.78;15.742;7.638;56
00:42;97.43;46.07;16.198;8.165;58
00:48;97.58;45.99;15.697;7.832;60
00:54;94.31;47.62;15.081;8.585;59
01:00;95.22;47.20;15.879;9.015;50
01:06;96.16;46.75;15.388;8.476;46
01:12;97.23;46.21;15.331;8.614;50
01:18;95.58;47.04;13.231;7.683;50
01:24;93.28;48.12;14.353;9.844;42
01:30;94.62;47.42;13.140;8.562;38
01:36;94.74;47.39;14.438;12.213;39
01:42;90.19;49.75;15.673;13.107;36
01:48;89.53;50.12;16.234;12.989;31
01:54;91.35;49.13;17.689;12.948;37
02:00;90.70;49.41;19.506;14.221;34
02:06;92.63;48.33;20.192;14.149;30
02:12;90.59;49.48;20.379;14.306;33
02:18;93.23;48.13;17.612;9.584;28
02:24;93.77;47.86;19.003;10.371;23
02:30;96.19;46.69;20.011;10.916;19
02:36;91.28;49.23;15.103;9.356;21
02:42;92.72;48.46;17.829;10.000;22
02:48;94.66;47.39;16.518;7.456;17
02:54;89.66;50.05;15.678;6.978;13
03:00;87.35;51.31;15.405;7.561;16
03:06;85.82;52.24;14.593;7.297;21
03:12;85.92;52.20;15.147;7.559;20
03:18;80.86;55.47;8.767;5.639;16
03:24;86.31;52.02;14.075;7.969;18
03:30;90.51;49.67;14.219;7.927;21
03:36;92.67;48.46;15.444;8.254;20
03:42;91.17;49.23;15.031;7.870;20
03:48;91.48;49.06;16.285;8.932;20
03:54;94.41;47.42;16.439;8.939;24
04:00;100.20;44.68;16.955;8.604;24
04:06;102.14;43.87;19.144;9.528;27
04:12;101.10;44.30;16.638;8.449;32
04:18;102.17;43.86;17.309;7.990;36
04:24;103.77;43.20;14.816;6.497;44
04:30;102.50;43.73;15.856;7.135;44
04:36;102.31;43.78;15.795;7.137;52
04:42;99.71;44.91;17.170;8.299;53
04:48;98.54;45.42;17.422;8.754;49
04:54;98.04;45.68;15.591;8.359;55
05:00;93.37;48.01;18.035;10.731;54
05:06;95.69;46.82;18.022;10.256;54
05:12;95.49;46.91;18.440;10.607;56
05:18;94.94;47.17;17.560;9.690;55
05:24;91.20;49.17;13.988;7.940;60
05:30;92.50;48.48;15.474;8.534;66
05:36;97.05;46.29;15.157;7.033;76
05:42;96.91;46.31;16.961;7.889;85
05:48;96.34;46.53;14.992;8.494;94
05:54;95.92;46.80;12.018;6.556;99
06:00;96.10;46.76;10.597;5.999;103
06:06;95.21;47.11;10.793;5.648;120
06:12;93.97;47.72;13.152;8.833;131
06:18;92.82;48.31;10.970;6.349;113
06:24;92.48;48.48;11.440;6.851;115
06:30;93.23;48.09;11.260;5.792;117
06:36;90.47;49.58;11.212;6.461;141
06:42;91.83;48.83;13.453;8.184;133
06:48;87.85;51.09;11.072;7.436;177
06:54;88.89;50.54;9.214;5.444;222
07:00;89.15;50.33;8.389;4.672;260
07:06;86.81;51.72;7.877;5.220;282
07:12;85.73;52.23;7.575;5.481;252
07:18;84.05;53.33;10.021;9.388;273
07:24;77.32;57.99;11.949;16.075;265
07:30;68.94;65.03;14.563;28.898;329
07:36;67.43;66.43;18.744;45.466;327
07:42;64.55;69.44;19.627;54.030;325
07:48;60.90;73.63;23.124;70.084;314
07:54;59.79;75.03;25.292;74.313;342
08:00;59.00;76.01;23.605;72.281;392
08:06;58.62;76.51;25.188;84.330;399
08:12;58.91;76.10;24.784;77.988;403
08:18;58.05;77.21;24.208;71.197;406
08:24;58.18;77.01;24.486;75.359;399
08:30;58.63;76.46;24.216;70.562;397
08:36;62.65;71.48;24.974;87.859;375
08:42;66.35;67.55;24.026;94.421;343
08:48;65.48;68.47;21.195;82.728;370
08:54;69.31;64.70;20.921;76.030;355
09:00;69.65;64.36;21.858;69.545;349
09:06;69.06;64.98;20.791;94.085;319
09:12;70.55;63.62;20.076;98.216;345
09:18;73.05;61.47;19.896;94.515;331
09:24;75.36;59.57;19.514;89.003;340
09:30;77.79;57.62;16.896;106.214;302
09:36;79.85;56.18;17.341;78.468;279
09:42;80.55;55.69;14.617;34.199;287
09:48;81.03;55.31;15.689;30.868;295
09:54;82.17;54.56;13.528;27.554;315
10:00;84.18;53.25;12.490;20.933;297
10:06;82.22;54.57;11.695;17.090;313
10:12;85.52;52.46;8.583;7.999;321
10:18;83.10;53.98;9.804;7.831;275
10:24;87.16;51.43;10.366;6.198;270
10:30;86.59;51.78;10.762;8.982;269
10:36;86.06;52.12;9.832;6.947;282
10:42;86.14;52.09;8.225;5.511;317
10:48;87.41;51.34;8.073;4.919;300
10:54;86.76;51.65;7.054;4.250;308
11:00;86.43;51.84;8.462;5.768;311
11:06;89.08;50.31;9.026;5.695;300
11:12;86.22;51.97;10.298;10.692;296
11:18;88.21;50.77;7.517;4.974;320
11:24;85.87;52.26;8.280;5.565;313
11:30;85.87;52.23;9.348;7.445;313
11:36;86.74;51.64;9.385;7.636;332
11:42;86.79;51.66;9.713;9.382;327
11:48;87.14;51.55;7.810;5.278;323
11:54;88.28;50.85;8.913;5.771;337
12:00;86.15;52.10;10.717;18.542;343
12:06;87.05;51.49;13.178;49.058;369
12:12;84.52;53.03;14.033;40.166;352
12:18;86.32;51.97;12.436;45.888;327
12:24;89.42;50.07;10.839;15.249;310
12:30;87.58;51.24;10.106;19.931;338
12:36;87.39;51.32;9.021;6.035;322
12:42;87.73;51.12;7.728;4.571;316
12:48;88.71;50.54;8.427;5.088;289
12:54;89.91;49.91;9.026;5.417;250
13:00;90.28;49.72;10.357;7.363;231
13:06;87.83;51.06;10.169;6.491;243
13:12;88.79;50.51;7.846;5.143;256
13:18;89.42;50.11;8.541;5.908;259
13:24;88.19;50.90;9.227;5.836;257
13:30;86.50;51.84;8.534;5.751;281
13:36;88.02;50.95;8.310;5.290;277
13:42;89.23;50.27;8.184;4.637;291
13:48;89.62;50.05;10.815;7.951;303
13:54;87.93;51.05;10.048;7.878;338
14:00;86.70;51.75;9.523;7.426;295
14:06;88.81;50.46;8.582;5.452;269
14:12;88.08;50.89;9.188;5.642;286
14:18;86.39;51.94;9.084;5.915;312
14:24;86.61;51.73;8.622;5.551;338
14:30;86.79;51.64;8.563;6.352;345
14:36;88.15;50.87;8.063;4.996;361
14:42;86.27;51.98;6.950;4.421;337
14:48;85.09;52.70;7.106;4.502;332
14:54;87.42;51.32;7.156;4.399;325
15:00;88.64;50.60;7.238;4.383;317
15:06;87.60;51.18;8.086;4.985;351
15:12;88.73;50.56;7.002;4.002;342
15:18;84.90;52.83;9.447;6.969;339
15:24;85.78;52.33;8.674;5.822;333
15:30;84.15;53.28;10.734;8.177;329
15:36;83.28;53.80;11.039;9.496;342
15:42;84.45;53.15;7.251;5.268;353
15:48;82.13;54.57;10.639;8.967;334
15:54;83.58;53.62;10.076;10.170;333
16:00;82.94;54.12;12.717;12.465;319
16:06;82.37;54.44;10.224;11.432;365
16:12;83.27;53.85;9.050;6.838;345
16:18;78.19;57.36;14.593;16.280;370
16:24;71.85;62.39;19.340;34.195;413
16:30;67.18;66.88;24.620;67.095;441
16:36;62.27;72.11;26.625;82.059;476
16:42;58.45;76.78;28.998;111.645;417
16:48;54.05;82.96;28.467;116.103;399
16:54;49.88;89.83;27.290;111.718;413
17:00;47.26;94.93;28.627;112.497;435
17:06;44.29;101.19;28.177;104.461;444
17:12;41.46;108.02;26.527;99.107;439
17:18;40.12;111.82;25.835;103.146;407
17:24;40.39;111.03;26.697;103.669;422
17:30;39.30;114.14;25.792;100.489;489
17:36;38.95;115.17;25.593;101.549;486
17:42;38.25;117.29;25.609;100.524;451
17:48;38.21;117.31;26.859;115.458;430
17:54;39.81;112.73;27.238;98.994;497
18:00;39.49;113.58;28.067;96.444;458
18:06;38.80;115.41;27.857;95.175;452
18:12;39.86;112.73;27.613;93.842;456
18:18;39.57;113.34;27.506;99.930;474
18:24;41.11;109.12;26.293;99.234;474
18:30;44.68;100.33;27.496;103.998;494
18:36;48.97;91.60;29.061;91.342;473
18:42;52.42;85.54;29.986;100.348;430
18:48;54.01;83.12;28.536;113.470;419
18:54;60.57;74.09;27.525;103.236;447
19:00;67.43;66.47;27.717;108.226;446
19:06;70.65;63.47;28.582;115.619;402
19:12;73.94;60.61;26.383;115.397;387
19:18;77.30;57.98;24.968;104.082;390
19:24;78.39;57.22;23.983;93.264;368
19:30;83.07;54.04;23.136;108.310;333
19:36;82.80;54.16;21.195;91.717;334
19:42;83.88;53.44;20.567;60.615;307
19:48;88.31;50.75;16.344;53.827;289
19:54;90.40;49.56;15.498;44.193;278
20:00;93.06;48.26;12.690;18.822;266
20:06;93.56;47.95;10.376;5.710;247
20:12;94.21;47.56;11.984;6.529;246
20:18;91.75;48.92;12.998;11.115;228
20:24;94.79;47.33;11.488;6.732;197
20:30;97.17;46.14;12.032;6.635;165
20:36;97.54;45.96;8.957;4.425;170
20:42;96.12;46.68;9.953;4.824;151
20:48;96.30;46.62;11.093;6.134;157
20:54;95.97;46.71;14.468;9.034;151
21:00;99.29;45.14;13.262;6.837;124
21:06;97.56;45.96;13.450;7.535;137
21:12;96.01;46.74;13.086;7.897;149
21:18;97.48;46.07;12.880;6.838;143
21:24;95.81;46.88;16.412;9.916;130
21:30;97.39;46.10;14.911;7.594;142
21:36;97.22;46.10;14.109;6.870;137
21:42;94.30;47.61;13.165;6.821;139
21:48;94.13;47.64;12.140;6.424;132
21:54;93.84;47.80;12.883;6.904;119
22:00;96.27;46.65;14.483;7.395;110
22:06;96.70;46.42;13.755;6.629;107
22:12;94.63;47.38;14.835;7.859;114
22:18;94.05;47.69;13.255;6.612;119
22:24;91.87;48.81;14.215;7.755;113
22:30;93.15;48.17;14.095;8.374;110
22:36;93.14;48.11;15.932;9.755;111
22:42;94.59;47.39;16.751;9.898;103
22:48;98.18;45.68;16.512;7.611;103
22:54;98.49;45.57;16.732;8.913;106
23:00;96.53;46.48;16.010;8.793;114
23:06;96.75;46.39;14.932;7.509;112
23:12;99.29;45.22;16.109;9.832;98
23:18;95.40;47.04;16.327;10.555;90
23:24;95.68;46.92;17.569;15.914;102
23:30;94.59;47.47;17.662;15.934;108
23:36;96.06;46.75;17.647;15.945;105
23:42;92.97;48.35;17.497;16.372;108
23:48;92.62;48.49;18.206;16.379;92
23:54;94.58;47.48;16.246;8.502;95
