heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;100.89;77.66;14.482;11.391;28
00:06;108.90;71.88;4.300;3.000;3
00:12;89.76;87.38;17.873;19.498;7
00:18;93.07;84.38;17.270;17.823;17
00:24;96.85;80.99;13.611;14.189;26
00:30;96.89;80.92;12.358;12.778;30
00:36;98.31;79.79;10.985;10.116;36
00:42;97.97;80.05;11.083;9.937;39
00:48;97.10;80.69;10.956;9.135;40
00:54;97.39;80.46;10.163;8.362;40
01:00;98.73;79.41;10.661;8.601;39
01:06;99.13;79.08;11.277;9.103;37
01:12;96.00;81.64;10.792;8.946;35
01:18;95.93;81.67;11.529;9.750;34
01:24;94.12;83.30;11.919;10.281;29
01:30;93.36;84.00;12.403;10.668;25
01:36;96.08;81.58;13.043;10.968;25
01:42;96.55;81.17;13.507;11.163;26
01:48;99.85;78.49;13.773;11.136;22
01:54;101.06;77.55;12.416;10.165;21
02:00;101.63;77.07;11.459;8.775;21
02:06;101.26;77.40;13.738;11.325;27
02:12;97.96;79.99;15.830;13.916;24
02:18;99.48;78.74;15.770;14.183;24
02:24;103.26;75.92;15.991;14.060;29
02:30;103.64;75.62;16.025;13.733;36
02:36;106.70;73.42;13.924;12.119;51
02:42;108.73;72.08;13.658;12.589;57
02:48;106.94;73.31;14.312;12.874;65
02:54;107.89;72.66;12.306;9.575;62
03:00;107.48;72.90;12.569;9.753;58
03:06;107.71;72.77;12.524;9.702;58
03:12;106.99;73.34;12.810;9.749;51
03:18;103.97;75.46;13.518;11.113;50
03:24;101.04;77.66;18.127;34.935;35
03:30;96.73;81.16;18.749;36.447;30
03:36;98.35;79.79;19.081;36.274;31
03:42;98.62;79.58;18.723;35.678;33
03:48;99.39;79.04;18.500;35.958;32
03:54;100.69;77.96;14.202;13.124;33
04:00;100.82;77.81;13.804;12.936;35
04:06;100.88;77.80;14.641;13.762;38
04:12;101.61;77.28;14.097;12.472;42
04:18;100.78;77.89;13.180;11.863;48
