heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;83.33;47.26;16.755;28.386;56
00:06;87.80;45.00;0.000;0.000;6
00:12;75.67;52.05;17.429;15.888;17
00:18;83.54;47.11;10.455;6.223;51
00:24;82.48;47.72;9.739;5.965;67
00:30;85.47;46.08;13.879;6.628;72
00:36;85.64;45.99;13.674;6.501;79
00:42;87.99;44.77;14.379;6.818;85
00:48;86.75;45.39;13.649;8.296;92
00:54;87.31;45.09;14.714;8.860;72
01:00;87.52;45.05;15.589;9.847;64
01:06;86.22;45.71;16.687;10.813;61
01:12;86.20;45.72;15.346;10.407;52
01:18;84.30;46.76;13.993;10.194;54
01:24;85.10;46.28;15.096;10.142;45
01:30;86.14;45.73;13.715;9.058;39
01:36;84.42;46.60;17.005;11.589;38
01:42;84.76;46.39;20.628;12.728;39
01:48;84.24;46.75;19.620;12.991;43
01:54;86.80;45.33;16.768;11.427;43
02:00;87.41;45.03;16.127;11.434;41
02:06;86.84;45.37;16.425;11.525;41
02:12;88.52;44.46;16.023;10.957;41
02:18;87.72;44.89;14.789;9.206;40
02:24;84.51;46.58;15.882;9.840;34
02:30;82.91;47.44;15.488;10.278;25
02:36;81.89;48.11;16.612;10.774;32
02:42;82.12;47.98;19.972;11.925;34
02:48;75.06;52.45;20.172;12.991;27
02:54;76.58;51.42;19.269;12.528;27
03:00;77.62;50.73;19.036;12.484;28
03:06;79.37;49.60;21.478;13.179;27
03:12;79.28;49.69;21.898;13.286;22
03:18;74.97;52.59;16.156;12.306;17
03:24;74.61;52.91;15.885;12.425;14
03:30;74.42;53.00;16.546;12.059;12
03:36;72.30;54.66;18.921;13.575;11
03:42;72.05;54.75;21.656;15.806;11
03:48;77.72;50.72;21.409;14.629;10
03:54;80.67;48.85;20.403;14.142;10
04:00;75.96;51.85;19.653;13.590;14
04:06;80.83;48.73;18.281;12.028;15
04:12;85.33;46.13;21.777;13.011;17
04:18;88.32;44.59;18.560;10.397;19
04:24;87.67;44.86;16.266;9.052;23
04:30;88.60;44.39;15.589;8.905;28
04:36;89.75;43.88;13.433;6.739;30
04:42;86.39;45.52;14.599;7.599;40
04:48;86.63;45.38;13.551;7.078;47
04:54;91.91;42.71;15.889;7.451;60
05:00;96.07;40.89;17.860;7.934;75
05:06;93.23;42.21;19.337;10.861;93
05:12;90.78;43.32;19.582;11.683;104
05:18;90.54;43.52;16.714;9.714;115
