heure;vitesse;temps_de_parcours;std_vitesse;std_temps_de_parcours;nombre_vehicules_flottants
00:00;74.44;63.63;10.303;9.347;48
00:12;68.80;68.97;15.944;17.675;5
00:18;77.24;61.36;16.771;13.619;21
00:24;77.04;61.52;19.886;14.715;32
00:30;76.85;61.62;15.734;12.801;42
00:36;74.84;63.27;15.820;13.077;51
00:42;75.28;62.92;15.903;13.172;56
00:48;76.10;62.25;15.673;13.071;59
00:54;73.67;64.27;14.080;12.963;60
01:00;76.01;62.28;14.598;11.674;59
01:06;76.06;62.22;17.580;13.218;49
01:12;74.80;63.30;15.657;12.811;36
01:18;76.22;62.12;17.889;14.150;35
01:24;73.69;64.26;17.442;14.151;36
01:30;76.85;61.60;16.891;12.910;36
01:36;76.25;62.16;16.801;12.939;32
01:42;76.05;62.32;14.846;12.151;31
01:48;77.82;60.91;14.624;11.832;29
01:54;75.06;63.15;13.909;12.006;26
02:00;76.86;61.62;16.631;13.111;27
02:06;75.66;62.64;14.724;10.676;28
02:12;74.92;63.21;14.498;10.386;27
02:18;79.69;59.52;15.906;10.034;24
02:24;79.19;59.85;16.890;10.867;26
02:30;77.39;61.19;18.591;13.059;24
02:36;73.74;64.33;14.670;11.915;26
02:42;71.82;66.00;18.477;14.812;23
02:48;72.21;65.63;16.612;14.248;20
02:54;74.23;63.74;16.825;13.682;21
03:00;73.16;64.68;16.637;14.014;21
03:06;75.84;62.38;15.416;12.974;26
03:12;74.55;63.43;14.783;12.450;26
03:18;76.29;62.00;13.370;10.159;29
03:24;74.62;63.41;14.999;12.582;26
03:30;75.06;63.03;14.435;12.062;29
03:36;77.62;60.99;15.484;11.534;31
03:42;73.39;64.52;18.695;17.435;35
03:48;64.86;72.92;17.697;17.969;47
03:54;65.25;72.43;17.309;18.364;51
04:00;69.41;68.14;15.666;16.304;63
04:06;71.90;65.87;15.090;15.624;70
04:12;74.61;63.46;17.417;16.148;74
04:18;72.05;65.73;15.179;15.357;79
04:24;76.53;61.88;11.673;10.684;106
04:30;77.55;61.04;10.183;9.109;112
04:36;76.91;61.54;10.885;9.801;103
04:42;78.38;60.39;9.830;7.870;100
04:48;81.55;58.03;10.977;7.504;102
04:54;81.89;57.85;11.975;9.013;93
05:00;81.62;58.03;11.743;8.810;103
05:06;84.17;56.31;11.687;8.819;109
05:12;83.98;56.43;11.406;7.922;118
05:18;82.12;57.67;12.532;8.898;113
05:24;84.57;56.04;13.517;9.363;121
05:30;85.08;55.67;13.086;9.327;137
05:36;83.73;56.52;8.404;6.573;166
05:42;81.31;58.24;8.500;6.753;193
05:48;80.91;58.57;8.640;6.223;202
05:54;82.68;57.29;8.885;6.074;204
06:00;79.94;59.25;9.002;6.759;273
06:06;83.35;56.87;8.971;6.177;260
06:12;82.42;57.52;7.134;4.979;298
06:18;80.55;58.89;6.882;5.230;377
06:24;79.13;59.85;5.011;3.863;471
06:30;78.43;60.41;5.013;3.935;493
06:36;75.11;63.04;5.590;4.953;557
06:42;69.96;67.69;4.133;4.087;628
06:48;66.23;71.48;5.468;6.340;783
06:54;61.87;76.48;6.505;8.961;796
07:00;54.49;86.95;8.672;16.472;823
07:06;47.03;100.68;13.961;52.606;769
07:12;41.31;114.68;14.413;59.476;729
07:18;36.56;129.55;14.953;100.146;758
07:24;28.43;166.59;12.744;112.361;726
07:30;23.65;200.40;9.905;114.940;725
07:36;21.53;219.98;9.401;122.659;722
07:42;20.37;232.46;9.482;154.580;674
07:48;19.25;245.87;7.466;119.456;652
07:54;18.61;254.61;7.062;108.492;675
08:00;18.52;255.54;7.907;116.377;701
08:06;17.49;270.78;7.405;115.027;752
08:12;17.07;277.52;7.275;112.028;779
08:18;17.24;274.62;7.314;127.624;814
08:24;16.33;290.02;7.059;151.415;826
08:30;16.38;289.19;8.156;146.550;791
08:36;17.49;270.96;10.482;132.124;766
08:42;20.66;229.33;13.185;145.724;731
08:48;23.77;199.29;16.210;143.594;759
08:54;23.65;200.26;16.837;153.932;731
09:00;26.10;181.31;18.392;168.446;738
09:06;27.95;169.39;19.700;153.358;726
09:12;32.79;144.49;21.945;142.149;738
09:18;34.62;136.81;22.135;130.250;735
09:24;42.70;110.82;22.343;132.634;767
09:30;48.36;97.95;20.361;86.838;748
09:36;52.43;90.33;20.697;104.897;678
09:42;54.20;87.44;20.000;84.993;661
09:48;56.68;83.58;18.699;68.923;655
09:54;59.19;80.08;17.769;75.321;626
10:00;61.75;76.67;16.387;60.244;589
10:06;63.88;74.25;13.522;34.653;563
10:12;65.87;71.91;10.486;24.292;539
10:18;66.89;70.87;7.830;12.907;518
10:24;67.26;70.38;7.514;18.841;549
10:30;66.57;71.14;8.139;46.741;570
10:36;67.74;69.86;7.144;17.773;539
10:42;67.19;70.48;7.211;17.201;534
10:48;68.00;69.64;4.153;4.257;577
10:54;68.58;69.01;4.918;5.250;529
11:00;69.13;68.47;4.419;4.435;537
11:06;68.04;69.60;5.088;5.334;486
11:12;67.98;69.67;5.187;5.353;509
11:18;67.72;69.95;4.804;5.826;585
11:24;66.99;70.72;6.728;14.957;563
11:30;68.40;69.26;8.556;23.565;518
11:36;68.51;69.09;8.382;41.969;496
11:42;68.22;69.45;7.373;13.369;523
11:48;69.34;68.28;5.633;5.888;536
11:54;69.65;67.97;4.558;4.817;498
12:00;70.48;67.14;5.584;5.214;510
12:06;70.04;67.61;4.447;4.348;503
12:12;69.47;68.19;5.622;6.563;522
12:18;69.78;67.82;5.317;5.320;510
12:24;71.90;65.89;5.040;4.736;438
12:30;72.54;65.28;6.119;5.659;448
12:36;71.77;66.03;4.964;4.540;423
12:42;71.30;66.44;7.127;7.870;423
12:48;72.51;65.34;5.613;5.052;449
12:54;72.57;65.28;5.440;5.190;404
13:00;72.86;64.99;5.618;5.160;388
13:06;73.35;64.52;4.970;4.514;371
13:12;72.34;65.52;4.897;4.712;427
13:18;70.63;67.05;7.587;11.811;424
13:24;72.02;65.75;9.619;35.561;458
13:30;69.75;67.85;7.009;11.569;454
